"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1965,3.399547,51.982924,4541643.262700,189703283
1966,3.571421,54.890509,4836850.074800,191830975
1967,3.705461,56.802742,4957771.326700,193782438
1968,3.840920,60.189787,5195744.350400,195743427
1969,4.035145,63.300323,5356812.425200,197859329
1970,4.339686,65.541021,5338243.102800,200328340
1971,4.365465,66.920432,5514050.219400,202907917
1972,4.573015,70.250692,5804029.012300,205238390
1973,4.785434,73.223262,6131708.386500,207314764
1974,4.621419,71.433385,6098563.336100,209277968
1975,4.478563,69.550136,6086033.467500,211274535
1976,4.748111,73.355434,6413957.427900,213270022
1977,4.889953,75.224328,6710548.637200,215437405
1978,4.941709,76.893449,7081997.968800,217881437
1979,5.008956,77.703841,7306224.315400,220463115
1980,4.808877,74.707049,7287465.607900,223140018
1981,4.686743,72.497136,7472401.029300,225654008
1982,4.447602,69.545304,7337682.052400,228001418
1983,4.429711,69.301913,7674035.039900,230389964
1984,4.662488,72.848481,8229376.804400,232766280
1985,4.652938,72.663282,8572513.526400,235146182
1986,4.663712,73.337786,8869349.319900,237512783
1987,4.826013,75.798959,9176162.462700,239853168
1988,5.050858,79.252502,9559456.392400,242287814
1989,5.132543,81.168560,9910541.591600,244954094
1990,5.120957,81.393106,10097450.932000,248083732
1991,5.062957,81.286990,10086518.949000,251560189
1992,5.174228,82.487197,10441810.580000,255175339
1993,5.272851,84.226988,10729146.345000,258779753
1994,5.364279,85.766869,11161401.469000,262273589.000000
1995,5.425260,87.636309,11460997.735000,265660556.000000
1996,5.612983,90.595344,11893371.381000,268984347
1997,5.688143,91.274744,12422290.414000,272395438
1998,5.733281,91.848104,12978982.246000,275835018
1999,5.803918,93.474272,13601259.515000,279181581
2000,6.010136,95.566448,14155803.954000,282398554
2001,5.907740,93.306082,14290898.967000,285470493
2002,5.946308,94.670170,14533264.476000,288350252
2003,6.010145,94.979104,14939644.222000,291109820
2004,6.112655,96.836826,15515202.507000,293947885
2005,6.132183,96.885232,16055631.045000,296842670
2006,6.052686,96.119867,16502428.748000,299753098
2007,6.130123,97.440160,16834211.119000,302743399
2008,5.915118,95.066100,16854781.048000,305694910
2009,5.480726,90.397896,16416575.071000,308512035
2010,5.679715,93.432770,16861277.099000,311182845
2011,5.546116,92.624719,17122609.266000,313876608
2012,5.344086,90.170521,17513122.228000,316651321
2013,5.480157,92.623062,17835692.253000,319375166
2014,5.528681,93.585286,18243732.376000,322033964
2015,5.376473,92.690735,18737475.331000,324607776
2016,5.252932,92.617384,19049918.241000,327210198
2017,5.212162,92.965845,19479623,329791231
2018,5.377797,96.368354,20048205.761000,332140037
2019,5.262145,95.682579,20507082.950000,334319671
2020,4.714628,88.641533,19808900.259000,335942003
2021,5.032213,93.444579,20932281.741000,336997624
2022,5.078871,95.415497,21708446.282000,338289857
2023,4.911391,94.281119,22196897.704000,339996563
