"YYYYMM","Natural gas","Flaring"
201001,68.210645,9.365798
201002,72.360778,0.135763
201003,71.397111,0.474106
201004,73.524048,0.333135
201005,67.253645,2.936267
201006,65.388677,2.712962
201007,53.003241,0.210258
201008,54.251915,0
201009,53.596473,1.064987
201010,60.608540,0
201011,56.013565,0
201012,26.973891,0.837178
201101,63.007741,7.017192
201102,51.062896,0.373344
201103,64.424854,1.947323
201104,58.236152,0.538613
201105,57.925031,19.922952
201106,34.477425,21.746406
201107,55.089604,0.008076
201108,60.134286,0
201109,57.818345,0.202254
201110,57.505556,7.544775
201111,56.300365,0.294775
201112,61.895165,102.571290
201201,57.297762,40.364750
201202,55.898750,0.031993
201203,57.257405,6.899317
201204,54.598366,15.984094
201205,55.910715,29.507303
201206,58.948978,0.113184
201207,59.934889,0.000236
201208,54.016833,3.344823
201209,52.523563,0.000199
201210,50.454295,19.411368
201211,53.124990,0
201212,65.582144,0.884222
201301,54.447691,0.144700
201302,48.140611,0.125237
201303,52.575432,9.067044
201304,49.594418,0
201305,50.808407,21.347565
201306,47.854038,2.229371
201307,52.113951,0.690038
201308,56.659564,0.381983
201309,47.115119,0
201310,49.233036,0.281781
201311,52.342179,0.794014
201312,50.837918,3.606664
201401,47.999885,0.134549
201402,44.230390,0
201403,50.528734,3.608005
201404,49.016098,0
201405,48.743621,8.963145
201406,47.041870,0
201407,54.371977,0.231890
201408,52.621138,0
201409,50.497317,0
201410,47.418407,0.759168
201411,50.754851,0
201412,47.411560,0.236017
201501,49.900077,3.283851
201502,41.961638,0.403475
201503,49.813165,0
201504,46.719141,2.056089
201505,28.854913,47.179903
201506,6.002610,18.348334
201507,44.925746,6.983164
201508,45.869560,2.867909
201509,50.497957,1.084754
201510,50.855421,12.031755
201511,46.038692,0
201512,51.862489,0
201601,50.117215,3.742552
201602,43.344648,0
201603,49.777367,1.417141
201604,43.007535,6.259264
201605,47.310360,6.967366
201606,49.072613,0
201607,47.634378,1.167155
201608,43.324473,1.920579
201609,42.173569,0
201610,48.504098,1.481379
201611,43.213886,32.550746
201612,45.543367,0.428601
201701,47.504897,0
201702,42.812115,26.534346
201703,42.383040,0
201704,41.536423,0.115728
201705,38.197522,29.736649
201706,41.989149,1.201513
201707,43.762729,0
201708,41.407696,0
201709,48.360806,0
201710,47.904053,18.495524
201711,42.762659,0.907220
201712,41.913294,0.272470
201801,44.034634,5.552371
201802,39.867213,0
201803,41.831076,11.502386
201804,47.359380,0
201805,45.909741,0.474765
201806,46.409870,3.803522
201807,40.378509,0.180986
201808,51.872070,0
201809,44.140141,0
201810,44.912665,0
201811,40.526797,0
201812,41.206552,3.009689
201901,40.151669,0.027503
201902,40.792437,0
201903,39.801206,0.516912
201904,44.755882,0
201905,42.680272,0
201906,41.324478,3.899154
201907,37.203410,1.420646
201908,40.236310,0
201909,11.354924,53.530648
201910,39.796991,3.241266
201911,36.809819,1.726520
201912,39.985977,0.217170
202001,38.967541,0
202002,37.593011,0
202003,38.282712,0
202004,39.618333,0
202005,43.962296,0
202006,37.956294,0.281670
202007,40.325217,0
202008,41.127673,0
202009,39.160778,3.690210
202010,45.422808,1.660903
202011,42.471261,1.514889
202012,42.538550,0
202101,37.721750,0
202102,32.964919,0.885177
202103,40.699944,0
202104,41.379708,0.366233
202105,47.671779,0
202106,41.231333,1.208744
202107,50.651040,0.434983
202108,50.510268,0
202109,46.101681,15.201684
202110,45.971565,0
202111,41.867194,0
202112,39.805258,0
202201,38.959219,1.699890
202202,36.174237,8.105157
202203,42.044503,0
202204,35.683555,0.187752
202205,39.932982,0
202206,37.332635,0.992387
202207,34.874342,0.696111
202208,38.185320,0
202209,37.694912,0
202210,46.568324,0
202211,46.911042,0
202212,42.124851,0
202301,46.602656,0
202302,34.071500,3.509355
202303,35.373956,0
202304,34.068726,0
202305,17.751545,25.245737
202306,0,0
202307,23.468058,20.249988
202308,37.281946,0
202309,31.963212,0
202310,35.011911,0
202311,37.356205,0.224970
202312,41.701568,0.087478
202401,42.382184,3.221689
202402,39.791494,10.931928
202403,41.720227,0
202404,42.827766,3.538358
202405,38.460658,0
202406,34.989980,6.777417
202407,40.388521,0
202408,38.935624,0
202409,37.274638,0
202410,42.441283,0
202411,34.934694,0
202412,39.831627,0
202501,41.884886,0
202502,37.722586,0
202503,41.251324,0
202504,38.952842,0
202505,32.787711,0
202506,34.543539,0.198426
202507,41.513481,3.303066
202508,38.502803,30.551994
202509,50.633461,3.480229
