"YYYYMM","Natural gas","Flaring"
201001,3.826617,0.525421
201002,4.059440,0.007616
201003,4.005378,0.026597
201004,4.124699,0.018689
201005,3.772930,0.164725
201006,3.668305,0.152197
201007,2.973482,0.011795
201008,3.043532,0
201009,3.006762,0.059746
201010,3.400139,0
201011,3.142361,0
201012,1.513235,0.046966
201101,3.534734,0.393664
201102,2.864628,0.020945
201103,3.614234,0.109245
201104,3.267048,0.030216
201105,3.249594,1.117678
201106,1.934184,1.219973
201107,3.090527,0.000453
201108,3.373533,0
201109,3.243609,0.011346
201110,3.226062,0.423262
201111,3.158450,0.016537
201112,3.472319,5.754249
201201,3.214404,2.264462
201202,3.135920,0.001795
201203,3.212140,0.387052
201204,3.062968,0.896708
201205,3.136591,1.655360
201206,3.307038,0.006350
201207,3.362347,0.000013
201208,3.030344,0.187645
201209,2.946572,0.000011
201210,2.830486,1.088978
201211,2.980312,0
201212,3.679158,0.049605
201301,3.054515,0.008118
201302,2.700688,0.007026
201303,2.949482,0.508661
201304,2.782247,0
201305,2.850352,1.197598
201306,2.684612,0.125068
201307,2.923593,0.038711
201308,3.178602,0.021429
201309,2.643158,0
201310,2.761973,0.015808
201311,2.936396,0.044544
201312,2.852007,0.202334
201401,2.692794,0.007548
201402,2.481325,0
201403,2.834662,0.202409
201404,2.749803,0
201405,2.734517,0.502832
201406,2.639049,0
201407,3.050268,0.013009
201408,2.952046,0
201409,2.832899,0
201410,2.660173,0.042589
201411,2.847347,0
201412,2.659789,0.013241
201501,2.799394,0.184224
201502,2.354048,0.022635
201503,2.794519,0
201504,2.620944,0.115347
201505,1.618761,2.646793
201506,0.336746,1.029342
201507,2.520334,0.391755
201508,2.573282,0.160890
201509,2.832935,0.060855
201510,2.852989,0.674981
201511,2.582771,0
201512,2.909486,0
201601,2.811576,0.209957
201602,2.431635,0
201603,2.792510,0.079502
201604,2.412723,0.351145
201605,2.654111,0.390869
201606,2.752974,0
201607,2.672289,0.065477
201608,2.430503,0.107744
201609,2.365937,0
201610,2.721080,0.083105
201611,2.424299,1.826097
201612,2.554983,0.024045
201701,2.665025,0
201702,2.401760,1.488577
201703,2.377689,0
201704,2.330193,0.006492
201705,2.142881,1.668226
201706,2.355591,0.067405
201707,2.455089,0
201708,2.322972,0
201709,2.713041,0
201710,2.687417,1.037599
201711,2.398985,0.050895
201712,2.351336,0.015286
201801,2.470343,0.311488
201802,2.236551,0
201803,2.346723,0.645284
201804,2.656861,0
201805,2.575536,0.026634
201806,2.603594,0.213378
201807,2.265234,0.010153
201808,2.910023,0
201809,2.476262,0
201810,2.519601,0
201811,2.273553,0
201812,2.311688,0.168844
201901,2.252509,0.001543
201902,2.288456,0
201903,2.232848,0.028999
201904,2.510805,0
201905,2.394363,0
201906,2.318303,0.218743
201907,2.087111,0.079698
201908,2.257257,0
201909,0.637011,3.003069
201910,2.232611,0.181835
201911,2.065031,0.096858
201912,2.243213,0.012183
202001,2.186079,0
202002,2.108968,0
202003,2.147660,0
202004,2.222588,0
202005,2.466285,0
202006,2.129348,0.015802
202007,2.262245,0
202008,2.307262,0
202009,2.196920,0.207021
202010,2.548220,0.093177
202011,2.382638,0.084985
202012,2.386413,0
202101,2.116190,0
202102,1.849332,0.049658
202103,2.283267,0
202104,2.321402,0.020546
202105,2.674387,0
202106,2.313078,0.067811
202107,2.841523,0.024403
202108,2.833626,0
202109,2.586304,0.852814
202110,2.579005,0
202111,2.348750,0
202112,2.233075,0
202201,2.185612,0.095364
202202,2.029375,0.454699
202203,2.358697,0
202204,2.001847,0.010533
202205,2.240240,0
202206,2.094361,0.055673
202207,1.956451,0.039052
202208,2.142196,0
202209,2.114685,0
202210,2.612483,0
202211,2.631709,0
202212,2.363204,0
202301,2.614409,0
202302,1.911411,0.196875
202303,1.984479,0
202304,1.911256,0
202305,0.995862,1.416286
202306,0,0
202307,1.316558,1.136024
202308,2.091517,0
202309,1.793136,0
202310,1.964168,0
202311,2.095683,0.012621
202312,2.339458,0.004908
202401,2.377641,0.180737
202402,2.232303,0.613281
202403,2.340505,0
202404,2.402638,0.198502
202405,2.157643,0
202406,1.962938,0.380213
202407,2.265796,0
202408,2.184289,0
202409,2.091107,0
202410,2.380956,0
202411,1.959836,0
202412,2.234554,0
202501,2.349742,0
202502,2.116237,0
202503,2.314199,0
202504,2.185254,0
202505,1.839391,0
202506,1.937893,0.011132
