"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
2000,-114.411638,73.317206,,-2.196474,-1.467967,
2001,-115.179342,84.350840,,-2.196474,-1.473561,
2002,-115.240313,84.089461,,-2.196474,-1.474227,
2003,-115.210144,70.541164,,-2.196474,-1.471693,
2004,-114.964261,79.833409,,-2.196474,-1.473722,
2005,-117.207046,101.485466,,-2.196474,-1.474090,
2006,-116.037911,96.037292,,-2.196474,-1.486873,
2007,-117.230572,86.501916,,-2.196474,-1.476339,
2008,-117.046080,100.085673,,-2.196474,-1.476084,
2009,-117.850293,79.523049,,-2.196474,-1.485129,
2010,-118.445923,87.507850,,-2.196474,-1.486555,
2011,-118.814005,81.320230,,-2.196474,-1.499935,
2012,-119.877216,79.375895,,-2.196474,-1.501493,
2013,-119.765230,70.966751,,-2.196474,-1.504140,
2014,-119.782715,79.409371,,-2.196474,-1.505086,
2015,-120.245672,67.901988,,-2.904215,-1.518128,
2016,-120.959385,50.988038,,-2.893240,-1.515580,
2017,-122.019925,68.309480,,-2.882266,-1.512902,
2018,-122.356437,73.559907,,-2.871292,-1.532430,
2019,-129.502454,66.767434,,-4.335129,-1.526490,
2020,-136.157925,63.971044,,-5.122295,-1.522028,
2021,-143.006579,82.146328,,-5.909462,-1.527649,
2022,-149.853642,72.463542,,-6.696628,-1.535236,
