"Year","South Africa","World"
1950,4.929403,2.378734
1951,4.858209,2.515504
1952,5.011722,2.502896
1953,4.973303,2.524970
1954,5.010770,2.527923
1955,5.370228,2.716614
1956,5.482273,2.835461
1957,5.537170,2.869636
1958,5.764002,2.891376
1959,5.526186,2.985590
1960,5.637265,3.112931
1961,5.681153,3.071906
1962,5.753835,3.120741
1963,5.740801,3.215595
1964,5.891025,3.315825
1965,6.163254,3.391959
1966,5.855868,3.484865
1967,5.892079,3.523155
1968,5.984058,3.640223
1969,5.925277,3.802135
1970,5.951024,4.032588
1971,6.208275,4.112597
1972,6.192755,4.219747
1973,6.030103,4.355556
1974,6.007803,4.253289
1975,6.032973,4.173319
1976,6.373986,4.310191
1977,7.027913,4.352449
1978,7.110983,4.432504
1979,8.372205,4.465701
1980,8.620312,4.364099
1981,9.548778,4.168842
1982,10.261707,4.060496
1983,10.137781,4.023942
1984,10.943250,4.068703
1985,11.270656,4.137420
1986,11.128989,4.122175
1987,10.768806,4.179654
1988,10.711765,4.262697
1989,10.125245,4.241189
1990,9.843733,4.266701
1991,9.810572,4.282473
1992,10.020626,4.090168
1993,10.186373,4.068620
1994,10.394393,4.047994
1995,10.324324,4.083544
1996,10.184899,4.148108
1997,10.740315,4.114970
1998,10.724369,4.044522
1999,10.636120,4.079117
2000,10.570819,4.133621
2001,10.459881,4.107635
2002,10.220455,4.144280
2003,10.901095,4.307030
2004,10.972865,4.399256
2005,10.968721,4.493561
2006,10.835163,4.585831
2007,10.726720,4.661509
2008,10.794174,4.682571
2009,10.560350,4.545518
2010,10.863046,4.744937
2011,10.638171,4.848876
2012,10.694871,4.854014
2013,10.434449,4.837742
2014,10.454288,4.804597
2015,9.830730,4.739116
2016,9.784271,4.682487
2017,9.653571,4.705259
2018,9.568332,4.752195
2019,9.428685,4.747814
2020,9.052191,4.457744
2021,8.359618,4.634748
2022,8.105240,4.678452
2023,8.126232,4.707772
2024,8.073477,4.729075
