"Year","Hydro","Wind","Solar"
2017,-0.803387,0,0
2018,1.088200,0,0
2019,-0.470900,0.152400,0
2020,-0.181600,0.013300,0
2021,0.560100,0.011300,0.000200
2022,-0.563000,0.004700,0.000300
2023,0.773200,-0.012700,0.013900
2024,-0.453800,-0.018500,0.044900
2025,-0.320871,0.006643,0.054516
2026,0.374622,-0.000032,0.034146
