"YYYYMM","ICE","Hybrid","Battery Electric"
202106,27608,860,84
202109,31988,1147,98
202112,29373,1631,147
202203,30736,1285,54
202206,31286,2073,76
202209,36745,1787,105
202212,33700,1529,141
202303,32783,2380,149
202306,32092,2600,168
202309,29526,2875,188
202312,25712,3652,263
202403,27892,3783,282
202406,21997,2918,332
202409,22589,3115,345
202412,21284,3272,457
202503,21308,3695,629
202506,24508,4311,891
202509,27031,5034,1198
202512,9745,1933,457
