"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
202406,15637,56124,62585,13853,30348,4333
202407,9426,39217,49831,9224,17466,4261
202408,5761,27897,30737,6212,13388,3027
202409,8406,37850,53927,10203,28579,3321
202410,8982,38628,56136,11038,21216,3774
202411,8998,35616,53801,11818,23553,3648
202412,11780,46700,70700,25138,29996,5057
202501,5141,31710,52949,4898,20157,3500
202502,6902,36570,63423,6507,25682,5802
202503,6596,34169,71606,8373,29587,6246
202504,6809,30274,63157,9655,25882,4775
202505,6837,31199,53896,8246,19666,4525
202506,9292,39350,72927,11907,29574,6528
202507,6504,26270,52848,8496,19955,3331
202508,4166,19372,39649,5990,17343,2565
202509,6424,28516,63545,9214,31752,4473
202510,6013,28671,60714,9420,34506,4632
202511,7238,25336,56150,9576,34531,3953
