"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric"
201806,74381,145465,9006,4571,1522
201807,52313,101419,5783,3503,880
201808,28000,59273,2947,3215,659
201809,98191,217300,16827,4226,2290
201810,49061,93941,6168,3173,1256
201811,51429,96441,6118,3236,1415
201812,42463,92731,3676,3679,1540
201901,46823,103176,7412,2268,1334
201902,24274,53174,2417,1373,731
201903,120688,312064,16429,4941,3932
201904,46674,104194,6752,1922,1522
201905,50901,121055,7411,2362,1995
201906,59810,150297,8583,2270,2461
201907,41332,104073,7750,1772,2271
201908,24998,59507,4011,910,3147
201909,84378,229062,16914,5197,7704
201910,37917,91103,7943,3126,3162
201911,40704,99805,7098,4362,4652
201912,37206,96854,5517,4481,4939
202001,34196,97300,8941,4788,4054
202002,19347,51527,4154,2058,2508
202003,55025,165882,15265,6818,11694
202004,1154,1650,48,95,1374
202005,4215,12132,651,825,2424
202006,26904,94405,10239,4926,8903
202007,34854,111645,12779,7447,8162
202008,17269,55904,5542,2922,5589
202009,60480,206914,26344,12400,21903
202010,27070,85727,11038,7775,9335
202011,20644,67959,7116,7717,10345
202012,21567,72123,7970,9108,21914
202101,17304,53735,6809,6141,6260
202102,9519,31939,3196,3142,3516
202103,54003,169029,21599,17330,22003
202104,23347,87691,11793,9600,9152
202105,26102,94660,13000,9855,13120
202106,26416,111581,16150,12139,19842
202107,15592,71951,14714,9900,11139
202108,8387,39148,8061,5049,7388
202109,22106,121640,24961,13884,32721
202110,11530,61549,8649,8382,16155
202111,11118,62442,9624,10796,21726
202112,9102,54763,8690,8336,27705
202201,11740,66375,13492,9047,14433
202202,5804,31213,6883,4677,10417
202203,25305,135065,27737,16037,39315
202204,12645,73223,13951,6449,12899
202205,13437,73609,14561,7339,15448
202206,14923,80606,14978,7714,22737
202207,13314,66342,13730,6533,12243
202208,6982,39979,8007,3884,10006
202209,18911,126873,29088,12281,38116
202210,11813,77987,15712,8899,19933
202211,11746,75519,16066,10186,29372
202212,8684,55383,13743,8367,42285
202301,10399,76213,18976,9109,17297
202302,5397,42378,9633,4723,12310
202303,23968,162046,37252,17933,46626
202304,11572,77275,15026,8595,20522
202305,11074,82800,17792,9025,24513
202306,12911,98894,20991,12770,31700
202307,11148,81740,16321,11702,23010
202308,5574,47688,8551,6601,17243
202309,18892,151846,38014,18535,45323
202310,11276,84702,19323,14285,23943
202311,10495,85479,20321,15871,24359
202312,9728,75150,16211,12162,27841
202401,9348,82753,17896,11944,20935
202402,4995,48211,10591,6098,14991
202403,23312,177585,43984,24517,48388
202404,8649,75334,17081,10493,22717
202405,9220,81058,19503,11866,26031
202406,10696,91227,26702,16604,34034
202407,8708,76879,21446,13149,27335
202408,5165,42872,11639,5786,19113
202409,17556,137793,39017,24486,56387
202410,8961,72681,19012,13832,29802
202411,9434,70317,19591,15687,38581
202412,7060,59455,17899,12716,43656
202501,8625,70075,18413,12598,29634
202502,4241,39865,11431,7273,21244
202503,20967,176847,56161,33815,69313
202504,6381,58733,16586,14073,24558
