"YYYYMM","Diesel","Petrol","Non-Plugin Hybrid","Plugin Hybrid","Battery Electric","Other"
202203,1840,4643,2305,228,249,370
202206,2500,7103,2490,171,209,761
202209,2640,6165,1838,253,506,412
202212,1789,3742,1743,271,407,257
202303,2480,6570,2864,256,563,430
202306,3916,10731,4398,282,358,593
202309,2440,5815,3015,272,364,396
202312,2076,4690,2728,309,339,408
202403,3137,6919,4361,361,194,460
202406,5113,12385,5427,350,598,286
202409,2242,7464,2307,188,691,265
202412,1950,4977,4275,367,310,393
202503,2232,6540,5329,445,204,393
202506,3935,13675,8014,631,192,359
202509,1849,6850,4658,724,317,342
202512,721,2171,1728,289,212,79
