"YYYYMM","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Other"
2018,982750,20056,0,109,12
2019,991566,26447,0,691,18
2020,788045,28375,1084,1288,19
2021,736568,34339,7060,1958,0
2022,806042,63568,11331,9674,0
2023,674845,84468,11703,76361,8
2024,442681,126605,9372,70582,41
2025,344809,136185,18359,122643,74
2026,31142,17174,1975,42209,3
