"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Hydrogen","Others"
200903,273990,586746,1184,0,5,0,6165
200906,335427,848069,1847,0,71,0,5901
200909,275284,648705,2817,0,40,0,4515
200912,283932,525247,2526,0,46,0,4658
201003,266136,398519,2160,0,56,0,3539
201006,325774,466071,2566,0,115,0,3855
201009,289551,402228,3034,0,169,0,3079
201012,340477,403109,2901,0,201,0,2720
201103,348039,409592,3225,0,582,0,1965
201106,400572,452474,2644,0,693,0,2793
201109,366718,405596,3345,0,511,0,2987
201112,380637,383975,3408,0,368,0,3510
201203,370304,395526,4020,0,694,0,3092
201206,412984,437338,5212,0,725,0,4506
201209,348868,363392,6539,0,604,0,4994
201212,353963,358985,5667,0,933,0,4158
201303,323961,339612,6032,0,1032,0,3320
201306,387187,429658,6389,0,1357,0,4082
201309,335898,366732,6801,0,1482,0,3476
201312,356067,366782,7126,0,2180,0,3257
201403,342450,357997,5843,421,1845,0,3197
201406,396155,416611,6397,1154,2343,0,3855
201409,348995,381928,5379,1478,1859,0,3764
201412,364965,377190,5289,1474,2475,0,3709
201503,366824,378182,4940,2165,2373,0,3146
201506,411784,435348,6094,2814,2290,0,2989
201509,374806,401366,5375,2552,2722,0,2168
201512,385037,396493,6120,3570,4978,0,1906
201603,374747,402438,6886,3503,2332,0,1518
201606,437694,490626,7625,2621,2025,0,1824
201609,375285,429505,9197,3272,3321,0,1364
201612,351871,423738,10544,4348,3732,0,1591
201703,360628,460197,11972,5264,5060,4,1559
201706,378129,537160,13284,7000,5129,6,1634
201709,314905,478538,14832,8152,6244,61,2063
201712,283114,510593,15149,9020,8623,51,2891
201803,283766,553467,19834,8447,9102,24,3971
201806,307009,606872,24386,8235,8132,39,5747
201809,264541,522376,27525,8884,7340,40,3681
201812,255814,459985,27070,5857,11488,68,2078
201903,291092,521592,40673,7361,15901,64,3409
201906,317661,576437,45797,9112,15158,88,4655
201909,277103,532668,50394,9934,16844,80,4135
201912,266877,506194,57037,18839,15378,79,2696
202003,224046,359429,63121,26395,25975,79,2317
202006,159354,259679,46549,23108,18332,91,2147
202009,226860,392894,96371,56326,54062,123,4573
202012,209636,349721,121354,94565,95794,90,4687
202103,158163,251585,101325,78045,64694,118,2522
202106,156328,285229,119501,85518,84022,111,3728
202109,112167,232441,113178,77493,87979,145,3269
202112,97788,203333,95131,84382,119266,105,4566
202203,126253,220893,121541,67770,83672,103,5722
202206,119784,222778,111698,71109,83591,138,2923
202209,115877,215910,111463,76767,105210,388,4295
202212,110360,203864,120525,146446,198086,207,3984
202303,126260,248550,156236,37545,94736,64,3427
202306,126503,263901,167842,41519,125508,93,4686
202309,122064,237935,166777,44280,167045,96,2999
202312,111754,228274,173725,52379,136930,11,3470
202403,131454,258583,173927,44985,81337,34,4465
202406,143898,291995,190039,44564,102788,28,3544
202409,104196,220421,181335,43312,92265,67,2837
202412,103713,220949,210191,59042,104219,32,3111
202503,102962,189683,192265,63797,112968,10,2886
202506,108420,207776,207701,75104,135758,37,3422
202509,96619,192492,203304,78854,133476,5,2797
