"YYYYMM","Internal combustion","Non-plugin hybrid","Plugin hybrid","Battery electric"
201012,1115903,28592,326,19
201106,6193609,133055,2745,3915
201112,6298828,135694,4926,6177
201206,7036656,217850,13163,4378
201212,6967802,216798,25421,10209
201306,7521371,257635,18335,23112
201312,7467557,237900,30673,24982
201406,7876107,232788,29129,25844
201412,8076387,219384,26228,37681
201506,8279751,190970,18509,34196
201512,8690712,193430,24499,36868
201606,8415311,161336,29939,35585
201612,8625152,185613,42946,51146
201706,8187332,177748,43032,44228
201712,8487700,192932,48156,60259
201806,8290326,161959,58444,64890
201812,8254126,176190,65439,142172
201906,8052926,189300,42550,116413
201912,8180929,210144,43241,117409
202006,6131903,166664,24828,89269
202012,7577473,288403,44221,149271
202106,7598118,403879,84829,201329
202112,5914218,395167,91288,258145
202206,5961935,399576,88722,333100
202212,6094599,366836,94689,414882
202306,6461131,525800,126629,537482
202312,6407676,649656,166949,627156
202406,6356394,715216,160359,560537
202412,6350995,893833,153317,689499
202506,5353127,855790,136208,494450
