"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
201803,20414,109302,801,3944,670
201806,13735,97803,716,4009,428
201809,11646,87485,1014,5150,444
201812,8048,64167,1022,11074,190
201903,10136,95040,1859,8476,259
201906,7090,92249,1162,8409,387
201909,5960,84313,1125,12425,159
201912,4740,75643,1336,31394,156
202003,4914,85423,3639,8110,167
202006,1726,43670,2344,5739,377
202009,2375,67279,4414,14292,830
202012,1458,55555,4827,43820,957
202103,1598,65200,7644,4057,424
202106,1026,58575,8225,11480,608
202109,576,48921,7339,13173,587
202112,436,42918,7569,33539,780
202203,751,53344,9848,11532,588
202206,483,46781,8524,16341,666
202209,339,44922,7403,16330,399
202212,377,49974,8155,26418,743
202303,372,57124,13394,24524,469
202306,264,55535,12906,32217,575
202309,164,45628,10938,26061,566
202312,225,43281,8506,28228,810
202403,103,55692,13669,29651,724
202406,221,46200,12798,29906,512
202409,162,42308,11133,29605,404
202412,188,46931,13155,41787,536
202503,116,42006,15095,32368,254
202506,141,37999,18487,32911,348
202509,131,36798,18007,30194,265
202512,19,13257,6585,13846,111
