"YYYYMM","Diesel","Petrol","LPG / LPG blend","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201906,13852,2572,1598,54,0,11,0
201912,19189,3154,2127,111,0,13,0
202006,12391,2076,1738,92,0,162,0
202012,20515,3504,2946,138,0,77,0
202106,20414,4465,3066,103,11,101,0
202112,22322,4703,2361,111,23,161,1
202206,18031,3982,1596,219,72,268,0
202212,18158,4312,1891,279,99,356,0
202306,20297,5156,1974,384,96,643,0
202312,26560,6449,2443,431,210,1028,0
202406,28160,8395,2905,1079,5,1177,0
202412,28090,7435,3060,927,9,1741,14
202506,24494,8232,2661,1126,16,2073,69
202512,5324,1744,494,235,11,475,12
