"YYYYMM","Diesel","Petrol","LPG / LPG blend","Hybrid","Battery electric","Others"
201306,8691,27770,1228,18,3,41
201312,10407,24956,1167,173,7,36
201406,5180,9962,603,183,5,4
201412,12971,22077,2322,159,44,13
201506,9295,12082,1547,316,106,7
201512,17254,19605,3178,430,285,21
201606,14133,17006,2334,196,472,12
201612,16585,20706,2740,443,686,3
201706,15132,19698,2229,933,941,3
201712,19027,22930,2223,1059,853,5
201806,16745,19601,2371,792,915,1
201812,17425,22629,2256,942,1421,5
201906,121755,49612,17491,1826,1229,23
201912,40201,49495,7443,2572,1808,8
202006,30194,44888,4033,2541,1367,4
202012,52220,71475,8866,4059,1581,10
202106,54455,67325,9087,5144,1277,9
202112,80222,88649,12077,6884,2189,12
202206,70005,47510,5606,3247,2191,2
202212,32237,40590,3957,4120,6474,10
202306,35322,43394,3700,6340,10720,2
202312,44001,60588,5523,9187,21613,3
202406,35196,60522,5338,9870,21908,3
202412,33661,56688,4333,12144,24390,2
202506,31481,61161,3952,13607,29406,2
202512,34377,76535,4445,16174,74292,2
202606,31555,76566,3871,18234,13871,4
