"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2013,315514,164287,5884,325,501,669
2014,299745,173548,7511,874,1166,1349
2015,300864,189735,6888,2489,1356,1070
2016,279955,239809,9228,7238,2046,2652
2017,253859,264436,12370,11855,2707,3031
2018,195350,322881,15306,9497,3671,4544
2019,167827,335831,27013,7952,8870,3989
2020,131010,211202,39835,31519,14997,4061
2021,74957,168685,67589,47517,22707,3176
2022,48344,145736,74126,58926,37702,2944
2023,33306,155798,92194,99977,93443,3599
2024,17744,128398,106552,66061,127861,3560
2025,9067,95526,123582,37871,142228,3110
2026,3387,41223,64375,9462,66085,1493
