"YYYYMM","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201703,125547,2241,1556,1133,264
201706,192729,4189,2267,1651.000000,425
201709,164930,4167,2352,1755,548
201712,117087,2918,2554,2114,360
201803,106260,2041.000000,2811,2088,287
201806,171844,4277,4977,6598.000000,475.000000
201809,143017,3352,3560.000000,5701,487.000000
201812,105034.000000,3081,2467,5511,307
201903,94110,4468,1955,3521.000000,177
201906,142309,5975,4597,10399,164
201909,117561,5083,4181,8260,91
201912,82877,3648,2782,5827,46
202003,60757,3306,2206,6862.000000,22
202006,58184.000000,2369,1883,4366,10
202009,94168,3391,2548,7220,13
202012,61170,2659,1921.000000,7039.000000,22
202103,53122,3126,1351,5840,1
202106,86472,5500,2387,7755,1
202109,79884,5809,2934,8005.000000,0
202112,50857,2912,1515,6454.000000,0
202203,43560,4006,938.000000,9396,1
202206,63461.000000,5122,1237,8431,11
202209,58409.000000,3586,1009,13797,5
202212,43268,2918,723,8928,0
202303,40578,3946,223,8305,6
202306,60030,6632,720,8134.000000,5
202309,52625.000000,6708,1416,10244,3
202312,44474,5463,947.000000,8193,2
202403,44197,5051,1686,5710,2
202406,59115,5164,851.000000,8832,11
202409,45543,8746,1867.000000,9263,3
