"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
200706,42037,109640,810,0,0,572
200712,10395,22573,257,0,0,270
200806,35724,84738,892,0,8,2638
200812,16682,10478,329,0,6,134
200906,26423,19502,195,0,6,596
200912,6256,4281,97,0,0,123
201006,42805,22071,576,0,16,2153
201012,13720,6049,160,0,2,918
201106,54429,20920,411,0,35,1304
201112,9588,3024,146,0,11,47
201206,49350,15606,519,0,62,6
201212,9695,2956,122,0,80,6
201306,38639,14269,330,0,22,5
201312,15305,5518,253,0,28,0
201406,48129,16674,722,10,125,18
201412,22622,7578,279,29,101,8
201506,58548,22414,899,58,313,9
201512,30265,11486,619,71,153,24
201606,71397,27872,1616,155,286,0
201612,31351,12770,955,144,106,0
201706,60222,27584,2876,163,374,24
201712,25439,12705,1561,170,248,24
201806,48323,33130,4709,440,529,0
201812,20044,15275,2218,305,704,0
201906,38345,32831,6795,836,1954,24
201912,16211,14738,3399,513,1490,24
202006,23353,19863,6613,1168,1889,0
202012,14880,12737,4378,1328,2124,0
202106,23034,20302,11909,4163,4330,115
202112,12052,13449,7338,3728,4316,191
202206,17500,18446,15221,4959,8446,639
202212,10681,13441,6031,2719,7232,93
202306,17045,23808,16191,6251,14307,24
202312,10204,13070,8848,4131,8545,24
202406,17276,23166,15053,7522,9843,24
202412,9597,11297,9996,4693,6723,16
202506,13106,19760,16788,11094,12459,0
202512,7122,9490,9432,6678,9482,0
