"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
2014,41353,64400,263,183,37
2015,38829,69315,414,243,18
2016,39463,78068,1208,223,38
2017,36064,79403,2553,502,65
2018,28936,85679,4932,776,182
2019,21863,82341,5967,1897,2135
2020,14133,62967,13232,4245,1841
2021,10632,56646,20144,10153,910
2022,7046,43357,16171,14531,595
2023,5057,34375,18087,29537,453
2024,3812,33415,14863,21871,114
2025,1595,15039,7895,12727,2
