"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric"
201806,74381,145465,9006,4571,1522
201809,178504,377992,25557,10944,3829
201812,142953,283113,15962,10088,4211
201903,191785,468414,26258,8582,5997
201906,157385,375546,22746,6554,5978
201909,150708,392642,28675,7879,13122
201912,115827,287762,20558,11969,12753
202003,108568,314709,28360,13664,18256
202006,32273,108187,10938,5846,12701
202009,112603,374463,44665,22769,35654
202012,69281,225809,26124,24600,41594
202103,80826,254703,31604,26613,31779
202106,75865,293932,40943,31594,42114
202109,46085,232739,47736,28833,51248
202112,31750,178754,26963,27514,65586
202203,42849,232653,48112,29761,64165
202206,41005,227438,43490,21502,51084
202209,39207,233194,50825,22698,60365
202212,32243,208889,45521,27452,91590
202303,39764,280637,65861,31765,76233
202306,35557,258969,53809,30390,76735
202309,35614,281274,62886,36838,85576
202312,31499,245331,55855,42318,76143
202403,37655,308549,72471,42559,84314
202406,28565,248716,62189,38963,82782
202409,31429,258367,71279,43421,102835
202412,25455,202453,56502,42235,112039
202503,33833,286787,86005,53686,120191
202506,24889,218053,60772,53353,104650
202509,8018,66271,18551,17489,29825
