"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2007,52432,132213,1067,0,0,842
2008,52406,95216,1221,0,14,2772
2009,32679,23783,292,0,6,719
2010,56525,28120,736,0,18,3071
2011,64017,23944,557,0,46,1351
2012,59045,18562,641,0,142,12
2013,53944,19787,583,0,50,5
2014,70751,24252,1001,39,226,26
2015,88813,33900,1518,129,466,33
2016,102748,40642,2571,299,392,0
2017,85661,40289,4437,333,622,48
2018,68367,48405,6927,745,1233,0
2019,54556,47569,10194,1349,3444,48
2020,38233,32600,10991,2496,4013,0
2021,35086,33751,19247,7891,8646,306
2022,28181,31887,21252,7678,15678,732
2023,27249,36878,25039,10382,22852,48
2024,26855,34481,25051,12200,16573,28
2025,17585,26692,23063,15282,17372,0
