"YYYYMM","Diesel","Petrol","LPG","Hybrid","Battery electric"
2019,211027,139898,22551,13272,0
2020,249635,297057,33259,21574,0
2021,144640,380973,31641,55309,1474
2022,101808,396912,11169,48079,8312
2023,153675,625501,13101,87933,65558
2024,114264,616699,10584,169433,103850
2025,94923,520418,12079,306028,186979
2026,7608,34724,295,23176,15305
