"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
201801,14194,60099,416,1405,351
201802,9377,40003,314,985,414
201803,9956,47436,429,1785,341
201804,7971,39946,300,899,270
201805,8045,42820,343,1242,298
201806,8738,53227,416,2100,321
201807,8169,43065,420,1118,365
201808,7641,47161,455,1659,312
201809,5654,35582,516,2606,157
201810,6439,37590,497,2084,203
201811,6422,41511,615,3158,221
201812,3771,25365,307,6156,199
201901,7561,53526,902,2547,241
201902,5336,38801,489,2148,203
201903,5474,45811,820,4104,212
201904,4913,41147,455,2211,224
201905,4904,46132,529,2378,302
201906,5161,48031,533,4240,261
201907,5091,43551,412,2186,202
201908,4138,42772,449,2980,152
201909,3751,41376,613,7746,170
201910,4136,45043,764,2442,211
201911,4059,45947,607,6932,190
201912,3299,31468,339,22767,194
202001,4517,54852,1703,1676,196
202002,3074,40239,1066,2971,161
202003,2799,36382,1287,4120,197
202004,1297,20128,669,1659,163
202005,1497,24854,760,1545,167
202006,2459,36260,1298,3075,316
202007,3038,47250,1912,4340,359
202008,2435,36736,1486,4658,467
202009,2454,39372,1834,6551,425
202010,2606,43228,2005,7680,412
202011,2205,40899,2285,7916,386
202012,1720,29101,1602,29620,564
202101,2246,46363,3616,1220,282
202102,1738,34023,2121,1492,280
202103,1992,38536,3202,2556,282
202104,1817,37541,3269,2909,304
202105,1762,38686,3322,3961,275
202106,2066,45043,3779,6480,410
202107,1974,42044,3458,4786,410
202108,1598,33973,3201,4964,239
202109,1724,35463,3697,6040,328
202110,1782,35940,3842,6505,429
202111,1672,34263,4123,8319,370
202112,1604,30071,3191,21516,389
202201,1693,40205,5153,3920,472
202202,1558,31913,3970,4619,232
202203,1515,31123,4665,7358,276
202204,1241,28280,4558,6440,225
202205,1216,29340,4417,6669,258
202206,1485,34588,4344,8819,520
202207,1366,29037,3704,6390,255
202208,1054,28605,3861,7093,217
202209,999,29893,4695,7184,260
202210,889,32838,4991,7239,298
202211,838,31708,4723,7772,458
202212,888,28660,4121,14559,349
202301,893,38219,6227,6711,275
202302,821,30295,6514,8252,248
202303,927,34090,7925,14611,268
202304,818,30677,6218,9396,212
202305,933,31541,6842,11940,267
202306,1084,37419,8151,14766,430
202307,995,30827,7184,8275,275
202308,824,27818,6479,10298,292
202309,764,28760,7180,11518,334
202310,873,29735,7263,9367,323
202311,985,29245,7087,10528,406
202312,857,25692,6222,11793,412
202401,888,35035,9263,9880,313
202402,835,31603,8888,9154,334
202403,863,34446,10246,13970,364
202404,858,29706,9059,10032,325
202405,949,29394,9293,10827,188
202406,818,33374,10579,12454,318
202407,950,29867,10211,9326,220
202408,732,27666,9367,10380,252
202409,749,27921,9247,13596,207
202410,852,31401,11350,12128,246
202411,851,30404,11424,15046,235
202412,658,28298,9401,18670,314
202501,736,30953,12203,12175,145
202502,736,27456,11212,10882,149
202503,735,28458,13397,11987,296
202504,738,26664,12463,10332,236
202505,723,27688,14072,11514,202
202506,772,29696,14835,13507,234
202507,871,28589,15102,10175,150
202508,601,24967,12405,9827,189
202509,616,27921,13913,12909,163
202510,715,29443,15045,14929,191
202511,668,26651,13320,18030,220
202512,647,25507,12103,32145,305
202601,717,33454,18876,8253,152
202602,716,27784,15372,8182,109
202603,666,30425,17376,12668,196
202604,482,23810,13611,11435,212
