"YYYYMM","Country","Fuel","Value"
202007,"Australia","Diesel",19944
202007,"Australia","Petrol",42728
202007,"Australia","NonPluginHybrid",6665
202007,"Australia","PluginHybrid",132
202007,"Australia","BatteryElectric",138
202007,"Australia","Others",0
202008,"Australia","Diesel",16608
202008,"Australia","Petrol",35068
202008,"Australia","NonPluginHybrid",6436
202008,"Australia","PluginHybrid",103
202008,"Australia","BatteryElectric",155
202008,"Australia","Others",0
202009,"Australia","Diesel",21539
202009,"Australia","Petrol",39926
202009,"Australia","NonPluginHybrid",4389
202009,"Australia","PluginHybrid",124
202009,"Australia","BatteryElectric",161
202009,"Australia","Others",0
202010,"Australia","Diesel",27244
202010,"Australia","Petrol",44735
202010,"Australia","NonPluginHybrid",5801
202010,"Australia","PluginHybrid",200
202010,"Australia","BatteryElectric",186
202010,"Australia","Others",0
202011,"Australia","Diesel",31399
202011,"Australia","Petrol",53380
202011,"Australia","NonPluginHybrid",6887
202011,"Australia","PluginHybrid",135
202011,"Australia","BatteryElectric",178
202011,"Australia","Others",0
202012,"Australia","Diesel",32693
202012,"Australia","Petrol",52893
202012,"Australia","NonPluginHybrid",6124
202012,"Australia","PluginHybrid",236
202012,"Australia","BatteryElectric",180
202012,"Australia","Others",0
202101,"Australia","Diesel",24662
202101,"Australia","Petrol",47356
202101,"Australia","NonPluginHybrid",5247
202101,"Australia","PluginHybrid",158
202101,"Australia","BatteryElectric",296
202101,"Australia","Others",0
202102,"Australia","Diesel",26559
202102,"Australia","Petrol",49129
202102,"Australia","NonPluginHybrid",5016
202102,"Australia","PluginHybrid",185
202102,"Australia","BatteryElectric",262
202102,"Australia","Others",20
202103,"Australia","Diesel",32228
202103,"Australia","Petrol",56847
202103,"Australia","NonPluginHybrid",6548
202103,"Australia","PluginHybrid",286
202103,"Australia","BatteryElectric",411
202103,"Australia","Others",0
202104,"Australia","Diesel",31001
202104,"Australia","Petrol",49828
202104,"Australia","NonPluginHybrid",7583
202104,"Australia","PluginHybrid",248
202104,"Australia","BatteryElectric",286
202104,"Australia","Others",6
202105,"Australia","Diesel",34164
202105,"Australia","Petrol",55049
202105,"Australia","NonPluginHybrid",7105
202105,"Australia","PluginHybrid",245
202105,"Australia","BatteryElectric",436
202105,"Australia","Others",1
202106,"Australia","Diesel",38285
202106,"Australia","Petrol",60701
202106,"Australia","NonPluginHybrid",5842
202106,"Australia","PluginHybrid",318
202106,"Australia","BatteryElectric",526
202106,"Australia","Others",0
202107,"Australia","Diesel",28649
202107,"Australia","Petrol",45985
202107,"Australia","NonPluginHybrid",5512
202107,"Australia","PluginHybrid",325
202107,"Australia","BatteryElectric",515
202107,"Australia","Others",0
202108,"Australia","Diesel",27228
202108,"Australia","Petrol",43176
202108,"Australia","NonPluginHybrid",6488
202108,"Australia","PluginHybrid",293
202108,"Australia","BatteryElectric",370
202108,"Australia","Others",1
202109,"Australia","Diesel",26800
202109,"Australia","Petrol",44872
202109,"Australia","NonPluginHybrid",6959
202109,"Australia","PluginHybrid",301
202109,"Australia","BatteryElectric",466
202109,"Australia","Others",0
202110,"Australia","Diesel",24807
202110,"Australia","Petrol",40717
202110,"Australia","NonPluginHybrid",4378
202110,"Australia","PluginHybrid",276
202110,"Australia","BatteryElectric",461
202110,"Australia","Others",0
202111,"Australia","Diesel",25658
202111,"Australia","Petrol",45161
202111,"Australia","NonPluginHybrid",4983
202111,"Australia","PluginHybrid",415
202111,"Australia","BatteryElectric",568
202111,"Australia","Others",2
202112,"Australia","Diesel",26949
202112,"Australia","Petrol",41674
202112,"Australia","NonPluginHybrid",4805
202112,"Australia","PluginHybrid",322
202112,"Australia","BatteryElectric",552
202112,"Australia","Others",8
202201,"Australia","Diesel",26099
202201,"Australia","Petrol",41592
202201,"Australia","NonPluginHybrid",4972
202201,"Australia","PluginHybrid",307
202201,"Australia","BatteryElectric",620
202201,"Australia","Others",3
202202,"Australia","Diesel",29939
202202,"Australia","Petrol",43644
202202,"Australia","NonPluginHybrid",8143
202202,"Australia","PluginHybrid",305
202202,"Australia","BatteryElectric",600
202202,"Australia","Others",1
202203,"Australia","Diesel",33379
202203,"Australia","Petrol",50272
202203,"Australia","NonPluginHybrid",7474
202203,"Australia","PluginHybrid",427
202203,"Australia","BatteryElectric",5532
202203,"Australia","Others",2
202204,"Australia","Diesel",27882
202204,"Australia","Petrol",41796
202204,"Australia","NonPluginHybrid",6277
202204,"Australia","PluginHybrid",628
202204,"Australia","BatteryElectric",866
202204,"Australia","Others",1
202205,"Australia","Diesel",33437
202205,"Australia","Petrol",47294
202205,"Australia","NonPluginHybrid",7887
202205,"Australia","PluginHybrid",695
202205,"Australia","BatteryElectric",925
202205,"Australia","Others",1
202206,"Australia","Diesel",35306
202206,"Australia","Petrol",51388
202206,"Australia","NonPluginHybrid",6407
202206,"Australia","PluginHybrid",570
202206,"Australia","BatteryElectric",1137
202206,"Australia","Others",1
202207,"Australia","Diesel",28735
202207,"Australia","Petrol",44039
202207,"Australia","NonPluginHybrid",6779
202207,"Australia","PluginHybrid",578
202207,"Australia","BatteryElectric",609
202207,"Australia","Others",1
202208,"Australia","Diesel",30807
202208,"Australia","Petrol",48594
202208,"Australia","NonPluginHybrid",6864
202208,"Australia","PluginHybrid",540
202208,"Australia","BatteryElectric",4235
202208,"Australia","Others",0
202209,"Australia","Diesel",29377
202209,"Australia","Petrol",47620
202209,"Australia","NonPluginHybrid",4616
202209,"Australia","PluginHybrid",525
202209,"Australia","BatteryElectric",7247
202209,"Australia","Others",0
202210,"Australia","Diesel",28707
202210,"Australia","Petrol",45099
202210,"Australia","NonPluginHybrid",6860
202210,"Australia","PluginHybrid",464
202210,"Australia","BatteryElectric",2098
202210,"Australia","Others",3
202211,"Australia","Diesel",30404
202211,"Australia","Petrol",46717
202211,"Australia","NonPluginHybrid",8529
