"YYYYMM","Diesel","Petrol","Hybrid","Battery electric","Other"
200001,1005,23226,0,0,0
200002,748,21800,0,0,8
200003,1085,28670,0,0,4
200004,1102,26643,0,0,0
200005,1169,27876,0,0,8
200006,1062,26248,0,0,4
200007,1258,29097,0,0,0
200008,1240,29547,0,0,0
200009,1286,25445,0,0,0
200010,1280,28728,0,0,1
200011,1225,29836,0,0,1
200012,1005,27168,0,0,1
200101,1104,25407,0,0,1
200102,1169,27697,0,0,0
200103,1516,28817,0,0,3
200104,1395,29305,0,0,2
200105,1386,31064,0,0,1
200106,1249,30050,0,0,2
200107,1497,33056,0,0,0
200108,1487,35161,0,0,2
200109,1391,32836,0,0,2
200110,1416,38498,0,0,0
200111,1369,36824,0,0,4
200112,1097,27395,0,0,0
200201,1388,38782,0,0,2
200202,1155,28706,0,0,4
200203,1398,33879,0,0,0
200204,1546,36783,0,0,0
200205,1447,36453,0,0,0
200206,1205,33306,0,0,0
200207,1601,39370,0,0,1
200208,1565,39397,0,0,2
200209,1368,31390,0,0,1
200210,1661,37615,0,0,0
200211,1802,34967,0,0,1
200212,1346,24472,0,0,2
200301,1986,41903,0,0,2
200302,1002,23840,0,0,1
200303,1464,34141,0,0,0
200304,1534,33315,0,0,2
200305,1541,31883,0,0,0
200306,1489,32055,0,0,0
200307,2096,37923,0,0,1
200308,1945,35929,0,0,0
200309,1627,32746,0,0,1
200310,1609,34046,0,0,0
200311,1319,30461,0,0,2
200312,1569,27567,0,0,0
200401,1444,31188,0,0,0
200402,1552,26557,0,0,0
200403,2359,37242,0,0,1
200404,2053,36547,0,0,2
200405,1786,33605,0,0,3
200406,2023,41414,0,0,4
200407,2270,44845,0,0,1
200408,2187,37321,0,0,2
200409,2236,39534,0,0,0
200410,2328,40566,0,0,1
200411,2038,32418,0,0,5
200412,2231,39401,1,0,19
200501,2302,38855,0,0,0
200502,1803,32715,0,0,32
200503,1891,44865,0,0,1
200504,1995,40501,0,0,33
200505,2681,40327,0,0,95
200506,2588,44106,0,0,18
200507,2735,41561,0,0,51
200508,2459,47067,0,0,68
200509,2254,46999,0,0,4
200510,2537,54312,0,0,38
200511,1872,35566,0,0,23
200512,2755,46187,0,0,55
200601,2714,35238,0,0,2
