"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric"
201701,2109.906000,0,0,0
201702,1380.914000,0,0,22.922000
201703,1818.082000,0,0,3.867000
201704,1108.669000,46,27,10.891000
201705,1271.073000,10,0,1.784000
201706,1882.849000,1,60,26.312000
201707,2535.681000,0,0,29.166000
201708,2290.320000,10,74,0
201709,4186.313000,99,0,16.204000
201710,2799.632000,0,0,0
201711,2943.110000,0,0,15.208000
201712,1276.754000,0,0,34.523000
201801,1454.623000,114,0,38
201802,2567.415559,0,0,31.604000
201803,2546.631466,0,0,35.604000
201804,1362.914000,4,0,2
201805,3238.666000,0,0,2
201806,1870.985039,0,0,43.303483
201807,3197.513400,0,0,99.316627
201808,3940.331715,0,0,87
201809,5106.318000,0,0,174
201810,5100.868000,1,0,222
201811,3023.114364,0,0,43.186362
201812,1614.467000,0,0,243.776000
201901,1997.362000,0,0,42.548000
201902,1574.375000,0,0,48
201903,2032.061000,7,0,140
201904,1010.778000,0,0,188.269000
201905,1847.842000,0,0,286.535000
201906,1377.987000,0,0,134.024000
201907,1266.816000,0,0,260.896000
201908,2471.848000,0,5,99.160000
201909,4035.166000,0,0,344.488000
201910,2947.433000,18,0,214.987000
201911,2213.966000,6,0,219.637000
201912,1677,1,0,250.423000
202001,1383,0,0,222.248000
202002,1497,0,16,109.284000
202003,819.570000,0,10,273.042000
202004,35,2,0,0
202005,264,0,0,66
202006,729,0,0,13
202007,323.937000,0,0,176
202008,435.718000,0,0,98
202009,1018.000000,5,0,89.651000
202010,1672,2,0,215.367000
202011,1965,0,0,122.784000
202012,1265,1,0,109
202101,1401.393000,41,0,83
202102,1766.798000,3,0,506
202103,2536.494000,18,0,156
202104,2154.533000,1,24,588
202105,1050.945000,0,0,102
202106,1255.028000,10,0,116
202107,1501.093000,6,0,40
202108,2467.287000,4,0,461
202109,3266.780000,24,0,519.720000
202110,1321.992000,13,0,422.848000
202111,1776.444000,7.456000,0,583.107000
202112,2011.873000,6,10,970.524000
202201,1479.008000,6,0,673.101000
202202,1383,12.863000,10,105.631000
202203,1880.374000,13,0,397.997000
202204,1474.900000,13.441000,0,179.617000
202205,1231.157000,0,0,217.572000
202206,575.211000,63,0,317
202207,475.000000,6,0,301.344000
202208,417.000000,0,0,443.761000
202209,670.357000,0,0,462.724000
202210,183,1,0,662.457000
202211,230,0,0,543.456000
202212,174,2,0,524.468000
202301,383.000000,0,0,692.484000
202302,335.061000,0,0,275.988000
202303,536.227000,15,0,576.492000
202304,680,1,0,557
202305,721,0,0,1258
202306,397.782000,2,0,349
202307,623.762000,3,0,772
202308,840.992000,5,0,798.878000
202309,1170.904000,4,0,1490.738000
202310,1199,0,0,1336.816000
202311,719.541000,2,0,1303
202312,399.296000,3,0,1722.416000
202401,889,0,0,1783
202402,489,1,0,918.222000
202403,684,3,0,1118.553000
202404,579.290000,0,0,1501.082000
202405,333,1,0,3809.009000
202406,802.770000,3,0,810
202407,593,1,0,671
202408,1223.000000,1.392000,0,1667
202409,1103.913000,0.697000,0,2866.572000
202410,1081,16,0,1477.172000
202411,659.000000,0.698000,0,1984
202412,474,6.167000,0,1910
