"YYYYMM","Diesel","Petrol","Non-Plugin Hybrid","Plugin Hybrid","Battery Electric","Other"
202203,3112,10530,4439,364,301,474
202206,3337,12004,4266,355,363,407
202209,3082,10192,3887,332,327,333
202212,3407,11176,4763,505,399,485
202303,3605,11263,5895,495,397,500
202306,4265,11039,6047,772,689,490
202309,4788,10543,6100,1017,581,399
202312,4853,8673,6141,713,722,424
202403,3766,10906,7011,594,599,515
202406,4203,10794,7187,481,634,452
202409,2972,10208,5967,496,488,316
202412,3867,12210,8041,672,506,524
202503,3123,8564,6565,816,830,419
202506,3390,10674,7992,1125,1177,415
202509,2884,9523,7646,879,961,411
202512,3290,9318,9933,1265,1408,435
202603,650,2018,2348,205,340,30
