"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Hydrogen","Others"
201806,93276,811665,566931,11647,14934,260,3116
201812,83996,747366,537809,11593,11531,346,984
201906,90684,777352,608271,8279,10967,391,358
201912,85010,729959,490433,9343,10354,299,186
202006,66632,673631,444921,6188,6755,168,129
202012,80871,707131,475354,8553,7849,593,57
202106,81480,689525,518546,11472,8407,1772,70
202112,61608,493604,508558,11305,12732,692,91
202206,62248,491320,522948,18864,14752,628,33
202212,62952,447430,566129,18908,16840,220,31
202306,77014,505220,738223,25163,22857,200,50
202312,69150,443224,721911,26980,21134,222,49
202406,51496,382865,761939,21580,15742,442,38
202412,59730,408263,780845,21552,18315,255,43
202506,59710,424971,800406,22578,17627,216,26
202512,27877,195546,365953,10401,10041,86,4
