"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric"
200506,527511,0,0,0
200512,604257,0,0,0
200606,533602,0,0,0
200612,606134,0,0,0
200706,520460,0,0,0
200712,579430,0,0,0
200806,514319,0,0,0
200812,511225,0,0,0
200906,356294,0,0,0
200912,398631,0,0,0
201006,370970,0,0,0
201012,449443,0,0,0
201106,413128,0,0,0
201112,492765,0,0,0
201206,462241,0,0,0
201212,525801,0,0,0
201306,502691,0,0,0
201312,562407,0,0,0
201406,500954,0,0,0
201412,636011,0,0,0
201506,610704,0,0,0
201512,743740,0,0,0
201606,720919,2585,116,137
201612,877981,4905,405,117
201706,739965,4423,494,122
201712,784424,4926,474,115
201806,675537,7050,930,102
201812,733646,8972,746,103
201906,630282,9525,662,153
201912,662041,14413,703,152
202006,425289,10085,1022,157
202012,500369,11885,964,292
202106,497381,21648,1154,341
202112,470275,20799,2338,799
202206,495398,19060,2263,1703
202212,548265,21799,2312,3928
202306,603178,22177,2541,5306
202312,686218,32191,3237,8866
202406,659299,38544,3334,12184
202412,720713,53482,4660,12106
202506,650308,51507,5037,9447
202512,590251,47995,6093,9550
