"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
201401,5797,8263,20,7,3
201402,4050,5403,11,10,5
201403,4515,6576,40,11,4
201404,4502,6317,26,21,9
201405,4532,7209,19,22,4
201406,4364,6596,21,8,4
201407,4009,5867,20,13,6
201408,3793,5423,25,14,3
201409,4097,6173,20,24,6
201410,4390,6220,24,35,2
201411,3552,4992,21,7,2
201412,4059,4056,30,23,7
201501,4891,6278,26,15,2
201502,4191,5183,30,12,3
201503,4677,7958,27,43,2
201504,4509,6805,48,20,2
201505,3988,6787,50,23,1
201506,4247,6648,41,20,4
201507,3925,6815,36,37,3
201508,3765,6455,43,23,8
201509,4232,6465,48,34,4
201510,4348,6923,45,22,8
201511,4276,6699,38,13,2
201512,4417,5400,50,12,5
201601,5186,7976,97,15,2
201602,4594,6673,140,37,3
201603,4896,8496,109,30,6
201604,4879,8139,102,15,3
201605,4693,7759,98,13,4
201606,4666,8122,121,22,5
201607,3872,6454,108,11,3
201608,4116,7167,88,14,13
201609,4289,7501,134,40,0
201610,4440,6957,149,21,3
201611,4527,6666,140,14,10
201612,4119,5769,135,45,5
201701,5686,8413,207,54,5
201702,4382,6584,150,32,6
201703,4996,8490,211,60,23
201704,4260,7065,205,51,22
201705,4921,8260,233,54,13
201706,4812,8347,246,68,5
201707,3718,7113,280,41,13
201708,4169,7639,299,52,18
201709,4255,7345,332,70,23
201710,4053,7171,371,35,17
201711,4192,7877,448,72,24
201712,3677,6326,369,71,28
201801,5116,10545,631,56,31
201802,3678,7179,467,48,23
201803,4464,9277,605,113,35
201804,4363,8730,693,82,28
201805,4577,10049,762,54,27
201806,4523,9600,612,81,28
201807,3968,8318,580,53,27
201808,4915,10587,712,87,73
201809,3960,5915,505,98,10
201810,4671,6919,702,83,14
201811,4172,7525,688,119,20
201812,3137,5197,511,114,33
201901,4635,9500,856,131,36
201902,3421,6881,736,158,23
201903,3662,7745,925,283,52
201904,3485,8467,855,216,103
201905,3736,9630,901,111,200
201906,3319,9334,736,267,281
201907,3226,8650,752,205,275
201908,4001,9274,1045,192,261
201909,3341,7804,985,303,250
201910,3666,8552,1471,127,304
201911,3409,7768,1341,164,289
201912,3192,6892,1240,199,254
202001,3481,8819,1889,242,335
202002,2911,6681,1742,268,220
202003,3000,6880,1830,576,239
202004,2216,4842,1305,237,170
202005,2127,4734,1113,172,80
202006,2793,6439,1526,324,220
202007,2979,7486,2047,299,311
202008,2816,6840,1840,359,152
202009,2903,6843,2162,792,72
202010,3008,6606,1868,343,69
202011,2867,6201,1938,396,85
202012,2679,5419,2247,1152,132
202101,2444,6670,2481,449,129
202102,2406,5853,2680,472,123
202103,2737,7333,3288,989,149
202104,2493,6290,3163,818,121
202105,2381,6504,3092,1149,97
202106,2340,6872,2866,1253,151
202107,2258,5719,2547,1062,107
202108,2285,5887,2582,1171,75
202109,2089,5427,2387,1167,76
202110,1820,4712,2355,1630,63
202111,1930,4618,2478,1449,60
202112,1860,4028,2160,1988,70
202201,1879,5471,2449,1364,86
202202,1682,4385,2163,1196,51
202203,1647,5075,2853,2041,48
202204,1352,4845,2376,1522,34
202205,1553,5755,2819,1882,54
202206,1505,5080,2807,2075,58
202207,1183,3921,2437,1798,70
202208,1219,4710,2451,2540,101
202209,1143,4383,2231,2287,122
202210,942,3881,2147,1993,125
202211,856,3617,2292,2207,83
202212,822,3276,1821,2272,64
202301,878,4123,2152,2317,72
202302,840,3196,2102,2281,48
202303,944,3698,2425,3520,42
202304,857,3489,2561,2966,57
202305,1079,4620,2694,4013,67
202306,1041,4575,2883,3873,81
202307,877,3345,3180,2601,114
202308,934,3704,3227,3997,53
202309,744,3410,2769,4069,63
202310,732,2921,3061,3460,57
202311,760,3119,2876,3499,68
202312,670,2269,2641,3007,42
202401,729,3472,2941,2525,52
202402,614,2895,2665,2215,57
202403,561,3365,2892,2810,36
202404,592,3470,2754,2675,32
202405,745,4353,3108,3298,28
202406,759,3844,2647,2757,31
202407,643,3270,3020,2599,19
202408,656,3649,3174,3307,33
202409,467,2171,2556,3217,24
202410,569,3065,2952,3510,31
202411,530,3386,2570,3371,22
202412,470,3001,2431,3635,32
202501,555,2962,2577,3160,18
202502,489,2398,2059,3173,17
202503,540,2716,2246,4385,13
202504,606,2878,1997,4142,17
202505,675,3400,2019,4334,19
202506,695,3662,2090,4221,17
202507,691,2693,1686,4119,29
202508,675,2493,1738,3843,16
202509,710,2721,1681,4518,12
202510,802,3144,1771,4139,13
202511,723,2882,1566,3894,7
202512,515,2003,1256,4558,5
202601,537,2436,1138,3857,5
202602,577,2168,1139,3876,9
202603,603,2858,1303,5550,2
202604,592,2691,973,4784,5
202605,513,3129,1030,5119,12
