"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Hydrogen","Others"
2018,177272,1559031,1104740,23240,26465,606,4100
2019,175694,1507311,1098704,17622,21321,690,544
2020,147503,1380762,920275,14741,14604,761,186
2021,143088,1183129,1027104,22777,21139,2464,161
2022,125200,938750,1089077,37772,31592,848,64
2023,146164,948444,1460134,52143,43991,422,99
2024,111226,791128,1542784,43132,34057,697,81
2025,59710,424971,800406,22578,17627,216,26
