"YYYYMM","Diesel","Petrol","LPG","Hybrid","Battery electric"
201906,98988,57797,8839,5271,0
201912,112039,82101,13712,8001,0
202006,97148,98122,13381,6471,0
202012,152487,198935,19878,15103,0
202106,92706,204615,18131,27738,0
202112,51934,176358,13510,27571,1474
202206,45879,187479,6467,25551,2582
202212,55929,209433,4702,22528,5730
202306,85217,292362,6740,37542,12957
202312,68458,333139,6361,50391,52601
202406,63378,331830,5537,65394,42662
202412,50886,284869,5047,104039,61188
202506,47114,235132,4810,138651,82134
202512,38556,214565,6107,123035,83150
