"YYYYMM","Diesel","Petrol","Petrol blend","LPG","Hybrid","Battery electric","Others"
2013,19098,52726,2395,0,191,10,77
2014,18151,32039,2925,0,342,49,17
2015,26549,31687,4724,1,746,391,28
2016,30718,37712,5074,0,639,1158,15
2017,34159,42628,4451,1,1992,1794,8
2018,34170,42230,4626,1,1734,2336,6
2019,161956,99107,24620,314,4398,3037,31
2020,82414,116363,11332,1567,6600,2948,14
2021,134677,155974,17651,3513,12028,3466,21
2022,102242,88100,8553,1010,7367,8665,12
2023,79323,103982,8611,612,15527,32333,5
2024,68857,117210,8958,713,22014,46298,5
2025,65858,137696,7714,683,29781,103698,4
2026,20473,47885,2139,350,11188,7840,4
