"YYYYMM","Diesel","Petrol","Petrol blend","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
200103,30748,101415,15550,0,0,7,880
200106,31204,92675,14674,0,0,10,670
200109,31340,86907,13806,2,0,31,611
200112,28840,78295,13267,0,0,45,564
200203,34447,101169,16732,0,0,28,689
200206,33504,93651,15831,1,0,39,607
200209,37333,94535,15899,0,0,49,588
200212,34864,91460,15615,0,0,28,545
200303,48203,105897,18903,0,0,74,675
200306,45316,104324,16793,2,0,74,691
200309,47364,109790,18364,1,0,70,684
200312,46200,111953,19485,1,0,44,599
200403,58761,136245,24633,0,0,36,741
200406,58737,128718,22823,2,0,58,862
200409,60798,127092,22802,3,0,42,931
200412,58773,138768,26374,1,0,66,956
200503,67654,139416,27101,2,0,33,1009
200506,65033,132989,25737,1,0,36,964
200509,62095,141536,26490,0,0,53,964
200512,63358,149741,28751,1,0,46,907
200603,86188,168539,34839,1,0,39,1155
200606,75849,162627,31737,0,0,53,1168
200609,74318,160223,32400,0,0,87,1306
200612,75144,169745,39309,1,0,39,1629
200703,99693,198632,49081,2,0,54,1833
200706,94040,173417,40884,2,0,28,1702
200709,96573,185310,44082,1,0,88,1269
200712,96297,196274,47345,1,0,92,1370
200803,120875,206424,46911,0,0,128,1176
200806,130714,201704,42592,0,0,88,950
200809,112145,171910,40288,2,0,177,1065
200812,106687,178180,42086,0,0,119,1022
200903,121654,216284,52026,2,0,104,1179
200906,128559,202561,45451,1,0,69,871
200909,136673,216508,46831,2,0,91,955
200912,147830,248781,54050,3,0,74,847
201003,181410,289738,65446,1,0,45,1045
201006,170069,253930,53232,2,0,66,937
201009,171593,276282,52360,1,0,81,1262
201012,188551,317715,66711,0,0,74,1650
201103,224344,330313,72363,2,0,170,1088
201106,209773,268681,62021,0,0,171,1059
201109,210593,244138,58450,0,0,131,1344
201112,256413,268617,63584,0,0,144,1279
201203,347992,308667,72517,1,0,230,1666
201206,306143,224179,51991,0,0,65,1200
201209,305364,202137,45392,2,0,85,1160
201212,314733,241317,53088,1,0,32,1159
201303,344727,249608,51815,2,0,31,1154
201306,297797,227912,42082,1,0,149,1055
201309,263893,215475,36580,1,0,90,962
201312,291201,237275,40363,1,0,92,854
201403,312765,258914,43042,0,0,92,927
201406,289030,248028,45344,3,0,86,859
201409,269849,254363,45270,0,0,133,970
201412,262707,284046,49074,1,0,163,1047
201503,307377,313282,49269,2,0,183,1025
201506,258055,291249,46351,4,0,158,921
201509,247106,278293,41614,26,0,168,906
201512,273955,328984,46078,56,0,167,1139
201603,273268,361440,53169,80,0,168,2952
201606,250596,323094,48959,186,0,133,1730
201609,234033,329055,46560,123,0,143,1221
201612,255061,377003,51022,125,0,165,1450
201703,270384,402376,56885,197,0,172,1539
201706,258319,394774,49614,306,0,217,1474
201709,262031,383646,47694,98,0,220,1070
201712,265786,423528,52570,72,0,211,1259
201803,287005,438163,54836,137,0,256,1690
201806,263511,407417,53759,212,0,308,1691
201809,235434,379327,50215,1947,0,234,1310
201812,238561,440247,55963,9397,0,275,1234
201903,245441,434998,56370,18179,0,382,1915
201906,215656,378113,52927,19117,0,195,1167
201909,180049,330330,41637,16980,0,217,797
201912,225532,473795,55384,21048,0,223,900
202003,213201,457840,49424,18509,0,429,878
202006,31411,137153,10893,8446,0,304,321
202009,91887,413592,44099,23706,0,1036,1244
202012,141044,635074,68045,34937,0,1496,1848
202103,149666,609427,77560,36289,0,1957,1675
202106,96812,351002,40500,18524,0,1659,1222
202109,148937,533184,73492,35370,0,3334,1805
202112,131716,527032,53587,34696,0,5334,1550
202203,149137,528780,89610,28257,0,7314,1434
202206,157412,527534,91666,34917,0,7020,1389
202209,158017,506728,81301,49336,0,9087,835
202212,169586,560043,89561,76858,0,9784,538
202303,165594,565913,82668,98036,0,14487,80
202306,155420,492921,84128,79015,0,19205,43
202309,154955,510743,111736,73172,0,18991,53
202312,160590,579295,129200,72452,0,20586,47
202403,179768,559683,127066,86757,0,21680,42
202406,160863,478304,122011,77562,1,21679,79
202409,160310,462583,123536,80850,14,19138,81
202412,186403,564861,170655,91803,26,27237,57
202503,192991,507753,225851,92521,31,32356,104
202506,174098,320945,282261,78301,19,39272,144
202509,164616,256600,344610,74141,15,49937,119
202512,223027,236309,651964,102851,6,49392,116
202603,249115,91353,798414,115094,11,62281,841
202606,196483,42733,720127,99707,3,82754,235
