"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric"
201803,57792.319000,8883.490000,2491.134000,47.839000
201806,40493.558000,7643.010000,2776.038000,22.836000
201809,36778.370000,7115.179000,853.482000,96.736000
201812,38398.146000,7419.093000,1311.789000,125.361000
201903,71514.417000,16232.160000,1638.338000,79.279000
201906,13189.359000,10971.234000,1584.671000,198.274000
201909,28337.460000,7931.535000,1789.985000,673.351000
201912,41578.229000,24645.862000,7018.152000,1069.145000
202003,43629.804000,2961.622000,310.993000,653.486000
202006,14963.086000,2943.139000,371.110000,317.731000
202009,29752.880000,7783.444000,1349.715000,332.447000
202012,44783.154000,23100.725000,4497.309000,422.291000
202103,38361.630000,5636.324000,1351.479000,999.010000
202106,46779.677000,12852.522000,3095.748000,4784.504000
202109,29319.343000,8775.918000,2330.979000,3767.340000
202112,29692.630000,16326.387000,3959.199000,4547.396000
202203,35767.958000,9149.875000,3504.889000,4155.592000
202206,37681.653000,8120.773000,3305.389000,5131.550000
202209,30195.552000,6497.820000,2171.375000,5488.423000
202212,42896.733000,10119.977000,9070.578000,25880.299000
202303,69854,13648,5866,16500
202306,40144,12206,3784,12334
202309,36627,12578,4252,12813
202312,14050,7540,1255,6572
202403,48882,14276,3485,22398
202406,34530,13323,1413,16838
202409,35029,19049,829,16287
202412,19208,12511,317,11648
202503,50289,26411,5342,15867
202506,25661,16762,9042,10292
