"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2001,460644,2122502,0,0,82,2751
2002,636793,2042483,0,0,64,2788
2003,728256,1914145,0,0,40,3615
2004,847024,1748557,0,0,90,3408
2005,893661,1543643,0,0,226,5925
2006,892665,1438068,0,0,323,8987
2007,955962,1417510,0,0,450,16158
2008,913235,1183054,0,0,220,15489
2009,815456,1137885,0,0,182,14729
2010,913139,1060876,0,0,256,22053
2011,958536,924497,0,0,1204,23174
2012,1015948,967642,0,0,1680,25555
2013,1102230,1090405,0,0,2619,29828
2014,1227877,1185666,0,0,6759,44780
2015,1284010,1303011,0,0,10091,63908
2016,1293690,1339374,0,0,10429,80281
2017,1073535,1369349,0,0,13913,107533
2018,755625,1489915,0,0,15756,132746
2019,622089,1540122,0,0,38007,146358
2020,304443,1007863,0,0,107913,236184
2021,194692,911684,0,0,190420,380449
2022,127902,821258,0,0,266875,436093
2023,126170,898808,0,0,314222,606632
2024,110550,749208,0,0,381869,758479
2025,76447,483758,0,0,349320,704771
