"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2005,74114,185120,604,0,13,831
2006,80857,185807,1570,0,9,1505
2007,92333,185055,3219,1,19,3345
2008,93366,189151,3064,29,24,2337
2009,78755,182174,3875,25,57,1592
2010,90547,200576,4217,33,201,1023
2011,109324,211540,5342,120,452,1177
2012,124911,200576,6486,222,924,926
2013,115656,185070,6650,508,1392,878
2014,113304,180875,6085,808,1948,1063
2015,127899,185469,6293,2492,3882,1108
2016,125595,178666,7640,2947,3525,958
2017,113848,183637,8367,3479,4929,772
2018,90360,188847,11228,4204,5411,837
2019,79461,192119,22132,4209,13177,1279
2020,51951,118987,32873,14293,19752,619
2021,32639,100768,54430,21803,32017,365
2022,26608,86231,58041,17812,40507,204
2023,23940,85205,70732,23094,52929,81
2024,23009,71479,83321,21141,46581,21
2025,8474,29147,42641,11812,24184,7
