"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Other"
201906,50865,66803,4727,2085,3917,1277
201912,38657,44733,4758,3717,2985,836
202006,21987,31058,4385,3759,3670,442
202012,25824,33890,7583,8115,4179,1374
202106,19113,38709,10637,7868,4709,1150
202112,12992,25163,8575,7804,8585,2377
202206,13891,32693,11977,7587,7660,2341
202212,14121,33101,12268,8454,10205,3092
202306,14275,44737,16693,12240,17074,5134
202312,9712,27293,12166,14906,19316,6075
202406,10278,45969,18331,14218,19214,8414
202412,8162,25115,16689,14128,22543,6663
202506,6828,35983,29762,16004,25017,10429
202512,3942,12472,13329,12162,16308,5464
