"YYYYMM","Diesel","Petrol","Non-Plugin Hybrid","Plugin Hybrid","Battery Electric","Other"
202201,1064,3030,1290,105,74,175
202202,929,3228,1481,140,110,118
202203,1119,4272,1668,119,117,181
202204,852,3548,1387,57,89,125
202205,995,3896,1411,118,143,87
202206,1490,4560,1468,180,131,195
202207,1032,3617,1240,105,108,119
202208,1105,3725,1492,109,124,140
202209,945,2850,1155,118,95,74
202210,1322,4184,1569,167,120,166
202211,1086,3607,1617,163,125,160
202212,999,3385,1577,175,154,159
202301,1096,3448,1751,142,105,138
202302,1042,3312,1877,142,79,171
202303,1467,4503,2267,211,213,191
202304,1189,3315,1910,186,175,117
202305,1496,3699,2078,318,284,164
202306,1580,4025,2059,268,230,209
202307,1405,3851,2109,327,163,146
202308,1355,3420,2098,280,189,145
202309,1027,3214,1893,410,207,108
202310,1346,3296,2476,270,269,150
202311,1246,3095,2082,258,227,156
202312,1004,2234,1583,185,205,117
202401,1312,3494,2454,242,217,216
202402,1201,3692,2313,167,190,139
202403,1253,3720,2244,185,192,160
202404,1370,3547,2245,158,229,162
202405,1380,3214,2222,141,189,148
202406,1440,4020,2651,182,215,141
202407,1085,3425,1884,164,174,87
202408,996,3649,2018,156,159,129
202409,1659,3156,2065,176,164,101
202410,1302,4394,2767,187,179,134
202411,2130,3886,2371,272,223,205
202412,1276,3953,2903,213,139,188
202501,1013,2784,2241,250,203,114
202502,1028,2526,1992,240,276,143
202503,1082,3254,2332,326,351,162
202504,1103,3813,2617,337,320,132
202505,1043,3251,2469,362,376,150
202506,1244,3610,2906,426,481,133
202507,1207,3799,2595,321,369,146
