"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Other"
201901,6827,7408,520,276,654,113
201902,7733,9551,575,317,529,236
201903,9819,12973,873,334,947,210
201904,8298,11247,848,374,439,198
201905,8790,12000,959,397,472,235
201906,9398,13624,952,387,876,285
201907,7499,9434,714,372,439,335
201908,5269,5726,570,361,398,170
201909,5756,6751,770,471,685,142
201910,6054,7164,962,923,436,125
201911,6880,7374,897,900,362,21
201912,7199,8284,845,690,665,43
202001,5161,6689,1060,723,881,19
202002,6596,11117,1065,753,815,17
202003,3898,4359,755,627,987,58
202004,1029,911,218,274,241,104
202005,2136,2328,397,564,259,95
202006,3167,5654,890,818,487,149
202007,5069,7528,1201,1070,431,193
202008,4226,6018,838,882,431,75
202009,4317,5846,907,1176,749,199
202010,4637,5402,1337,1433,610,285
202011,3846,4159,1233,1499,819,292
202012,3729,4937,2067,2055,1139,330
202101,2911,3659,2023,1002,414,103
202102,2269,3624,870,990,481,110
202103,2982,6234,1298,1415,688,205
202104,3688,7246,1596,1409,927,154
202105,3745,8408,2113,1475,867,193
202106,3518,9538,2737,1577,1332,385
202107,2357,5819,1678,1398,849,450
202108,1555,3069,1221,1120,806,227
202109,2154,4402,1257,1197,1498,282
202110,2119,3711,1539,1335,1583,308
202111,1977,3664,1476,1454,1973,402
202112,2830,4498,1404,1300,1876,708
202201,1962,3783,1743,1268,959,197
202202,2623,4342,2086,1350,1052,195
202203,2171,5642,2171,1303,1699,519
202204,2102,5985,1903,1221,1011,380
202205,2236,5978,1914,1242,1286,197
202206,2797,6963,2160,1203,1653,853
202207,2678,7088,2148,1215,1264,380
202208,2059,4800,2241,967,1167,157
202209,2322,3887,2259,1524,2138,345
202210,2195,4806,2054,1457,1406,666
202211,2371,6785,1922,1438,2123,618
202212,2496,5735,1644,1853,2107,926
202301,2419,5220,2437,1575,2258,728
202302,2523,5844,2828,1743,2592,550
202303,2888,8661,3419,2165,3549,790
202304,1873,6757,2583,1906,2006,982
202305,2088,8375,2612,2309,3378,1054
202306,2484,9880,2814,2542,3291,1030
202307,1727,5777,2663,2475,2697,735
202308,1464,3883,1692,2191,3068,752
202309,1730,3926,1899,2454,2816,1252
202310,1585,4388,1890,2343,2717,940
202311,1444,4410,2025,2757,4061,1072
202312,1762,4909,1997,2686,3957,1324
202401,1557,5851,2565,2168,2494,1102
202402,1523,9041,2821,2394,3191,1542
202403,1791,8885,3732,2550,3739,2100
202404,1279,6595,3172,2189,2823,1271
202405,2023,7499,3306,2601,3147,1275
202406,2105,8093,2735,2316,3820,1124
202407,1416,3916,2701,2360,3317,840
202408,967,3292,2287,1816,2484,976
202409,1123,3702,2744,2192,4053,1242
202410,1335,4119,2727,2594,3484,1031
202411,1332,4377,2793,2679,4063,1156
202412,1989,5709,3437,2487,5142,1418
202501,1090,3772,3311,1940,3265,1125
202502,996,5752,4974,2093,3946,1702
202503,1150,7649,6042,2727,4964,2047
202504,1151,4841,4780,2636,3722,1621
202505,1134,6971,5810,3295,4478,1855
