"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Other"
201903,24379,29932,1968,927,2130,559
201906,26486,36871,2759,1158,1787,718
201909,18524,21911,2054,1204,1522,647
201912,20133,22822,2704,2513,1463,189
202003,15655,22165,2880,2103,2683,94
202006,6332,8893,1505,1656,987,348
202009,13612,19392,2946,3128,1611,467
202012,12212,14498,4637,4987,2568,907
202103,8162,13517,4191,3407,1583,418
202106,10951,25192,6446,4461,3126,732
202109,6066,13290,4156,3715,3153,959
202112,6926,11873,4419,4089,5432,1418
202203,6756,13767,6000,3921,3710,911
202206,7135,18926,5977,3666,3950,1430
202209,7059,15775,6648,3706,4569,882
202212,7062,17326,5620,4748,5636,2210
202303,7830,19725,8684,5483,8399,2068
202306,6445,25012,8009,6757,8675,3066
202309,4921,13586,6254,7120,8581,2739
202312,4791,13707,5912,7786,10735,3336
202403,4871,23778,9118,7112,9424,4744
202406,5407,22190,9213,7106,9790,3670
202409,3506,10910,7732,6368,9854,3058
202412,4656,14205,8957,7760,12689,3605
202503,3236,17173,14327,6760,12175,4874
202506,3592,18810,15435,9244,12842,5555
202509,1791,6804,6843,5805,6706,2589
