"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric","Other"
202006,31525,4682,229,135,0
202012,35603,7036,1222,546,0
202106,42807,12357,2169,1033,0
202112,27829,10969,2620,1143,0
202206,33470,15520,2807,1286,1715
202212,30793,13499,2686,1541,1966
202306,41712,19974,3620,3212,1844
202312,32235,21586,5206,3167,1929
202406,38885,30638,4031,3341,1125
202412,19873,27279,4231,5366,2306
202506,12531,16172,2033,2020,440
