"YYYYMM","Diesel","Petrol","LPG","Hybrid","Battery electric"
201901,27914,14129,1976,387,0
201902,10101,6916,942,505,0
201903,17187,12512,1795,1219,0
201904,17566,10042,1380,939,0
201905,14639,9366,1826,1305,0
201906,11581,4832,920,916,0
201907,22818,12245,2169,1252,0
201908,10820,6728,1164,751,0
201909,15459,10030,1829,1426,0
201910,21214,17169,3473,1537,0
201911,21500,17930,2849,1713,0
201912,20228,17999,2228,1322,0
202001,30232,28988,5364,1417,0
202002,13814,14343,2462,1434,0
202003,20250,19031,2453,1566,0
202004,9671,8877,625,487,0
202005,12452,8833,899,564,0
202006,10729,18050,1578,1003,0
202007,35001,40919,4492,2707,0
202008,23612,29374,2149,1457,0
202009,18812,31042,2914,1937,0
202010,27240,37162,3277,3255,0
202011,28443,31693,3265,3164,0
202012,19379,28745,3781,2583,0
202101,26732,39474,4244,4055,0
202102,13072,23693,2079,3885,0
202103,18500,50915,4032,6555,0
202104,13361,33870,3030,5472,0
202105,9368,23939,1904,3117,0
202106,11673,32724,2842,4654,0
202107,12339,41468,3234,6177,0
202108,7810,30430,3266,4702,0
202109,7749,28660,3192,4887,0
202110,8686,28447,1812,4118,475
202111,9588,27946,956,4731,616
202112,5762,19407,1050,2956,383
202201,7387,29967,596,3585,304
202202,5447,24686,682,3264,342
202203,8061,34261,1707,5136,696
202204,9278,35366,1550,5340,392
202205,7588,32879,1156,4612,391
202206,8118,30320,776,3614,457
202207,10657,38918,619,3893,456
202208,10152,33813,911,2704,601
202209,7504,27903,756,2748,920
202210,6650,31904,633,3669,963
202211,10232,38086,820,4815,1489
202212,10734,38809,963,4699,1301
202301,18149,54066,1491,5980,1691
202302,9467,31091,1409,3855,1116
202303,14270,51219,1140,7659,2063
202304,14666,43378,830,7011,1827
202305,15625,60347,1072,6488,3284
202306,13040,52261,798,6549,2976
202307,16285,65287,927,8158,5303
202308,13584,57848,959,8685,8618
202309,9659,44855,917,8421,9832
202310,10704,47946,1104,7400,8340
202311,9508,56497,1201,8357,10374
202312,8718,60706,1253,9370,10134
202401,15678,75302,1444,12941,7904
202402,8745,51102,904,11099,5054
202403,11597,57817,1000,11527,6777
202404,8101,40149,733,9865,5846
202405,10694,57398,929,11840,8558
202406,8563,50062,527,8122,8523
202407,13389,70571,815,15567,8565
202408,9750,36001,868,13784,5807
202409,6467,32967,803,13941,8499
202410,6550,42520,779,16503,8284
202411,6457,46747,969,18534,12139
202412,8273,56063,813,25710,17894
202501,11423,53486,928,26126,12372
202502,7220,31868,636,19116,9891
202503,7192,45657,893,28976,12221
202504,7509,36523,692,24472,11173
202505,8359,38498,898,23532,15819
202506,5411,29100,763,16429,20658
202507,9186,44857,1350,27391,23623
202508,8908,42258,1161,23886,18776
202509,7412,38968,1565,21488,10957
202510,6799,45282,1279,21401,12863
202511,6251,43200,752,28869,16931
