"YYYYMM","Other","Hybrid","Battery electric"
201901,15865,46,30
201902,18271,117,52
201903,20013,117,40
201904,19570,120,73
201905,22031,160,78
201906,19318,90,47
201907,22671,117,86
201908,23062,123,99
201909,22381,139,139
201910,23609,183,66
201911,23382,492,72
201912,30012,505,144
202001,18040,316,51
202002,20174,272,77
202003,11946,213,110
202004,212,5,0
202005,8569,300,51
202006,11582,310,69
202007,14014,264,157
202008,12886,298,25
202009,17918,408,82
202010,20201,590,67
202011,21300,719,311
202012,25545,1002,307
202101,13675,607,45
202102,18559,891,198
202103,21916,908,90
202104,18112,872,37
202105,13601,991,92
202106,18261,2106,50
202107,21202,1836,79
202108,19791,1200,61
202109,21701,1036,87
202110,20989,2203,148
202111,21356,2033,227
202112,23414,1683,215
202201,15752,1242,397
202202,17427,1449,323
202203,18610,1843,384
202204,17744,2643,235
202205,19360,2728,323
202206,21114,2028,164
202207,20644,2143,446
202208,21534,2698,154
202209,21502,2241,128
202210,20353,1964,260
202211,20682,1711,232
202212,19782,1866,232
202301,12507,1167,178
202302,13262,2176,323
202303,14766,2162,316
202304,11727,1699,314
202305,13089,2343,242
202306,11409,2709,246
202307,10563,2316,212
202308,12016,2494,291
202309,12617,2590,318
202310,11464,2066,287
202311,15140,2900,457
202312,16172,3191,493
202401,9367,1997,217
202402,11915,3287,395
202403,9952,3014,380
202404,11455,3473,363
202405,11884,2531,392
202406,11019,2871,653
202407,12252,3467,778
202408,12178,3656,664
202409,12256,4121,740
202410,13633,3809,1079
202411,15407,4837,1580
202412,17789,5605,1937
202501,10285,3145,966
202502,12119,3889,1095
202503,12532,4430,1385
202504,11884,4245,1286
202505,13003,5283,1421
202506,12339,4556,1143
202507,14671,7636,1565
202508,13572,6066,1647
202509,15902,7102,1858
202510,16262,6902,2090
202511,15493,6264,2034
