"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
2018,96367,513782,5028,25196,3412
2019,57805,523575,6911,62680,2524
2020,30083,449267,17905,75810,3732
2021,21963,451897,40810,70745,3928
2022,14722,376143,52893,88060,3771
2023,10767,374280,82769,127446,3699
2024,9983,369075,117718,145458,3268
2025,8543,333957,159064,168293,2422
2026,718,33456,18783,8239,140
