"YYYYMM","ICE","Hybrid","Battery electric"
202306,114933,0,11638
202312,157309,0,20442
202406,102460,3448,19345
202412,174615,6418,67655
202506,107669,5926,67066
202512,151642,8245,107552
202606,118061,10865,115986
202612,0,1636,21787
