"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2010,684,2367,26,0,2,43
2011,2194,2662,83,0,0,158
2012,4065,3512,196,9,9,167
2013,3695,3302,187,17,49,49
2014,4741,4517,181,31,88,37
2015,6709,6469,249,151,269,218
2016,8268,8367,696,601,227,358
2017,8950,9184,1051,1447,414,318
2018,6820,7446,904,1978,687,159
2019,3515,4960,1051,1208,916,60
2020,1827,2137,1168,1861,2356,36
2021,1569,1953,2269,3419,3563,7
2022,2382,1986,2985,3753,5567,0
2023,2285,1835,2889,1755,8776,3
2024,2281,1551,2091,1643,2664,3
2025,1221,1223,3082,2724,5847,0
