"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
2018,209109,600483,5080,35587,5757
2019,166019,611338,7049,79415,4948
2020,116646,556927,18023,103758,5901
2021,123042,546058,41320,107457,6046
2022,106141,455202,53345,130065,5484
2023,106421,440928,83465,162859,5393
2024,132073,405966,109661,156412,4921
