"YYYYMM","Internal combustion","Plugin hybrid","Battery electric"
201206,6027871,0,0
201212,6837863,0,0
201306,7227469,97,922
201312,8344201,0,7299
201406,8497481,2504,6015
201412,9314308,10785,25317
201506,9269927,20884,30325
201512,10080216,42672,82853
201606,10360941,38120,38929
201612,12608569,33995,128643
201706,10484668,21237,75287
201712,12737895,80291,380810
201806,10678864,87859,202493
201812,10727208,146519,514921
201906,9362601,120268,460226
201912,10346073,83375,316596
202006,7399000,62000,251000
202012,10782000,139000,659000
202106,8967000,170000,839000
202112,8202000,375000,1603000
202206,7022000,503000,1745000
202212,7848000,918000,2513000
202306,6443000,996000,2093000
202312,7521292,1599850,3063439
202406,5736867,1684407,2422141
202412,6252876,2882475,3910455
202506,5432763,2140327,3328728
202512,4578329,2239116,3763877
