"YYYYMM","Diesel","Petrol","Hybrid","Battery electric"
202303,1049,10287,834,351
202306,1618,10700,571,415
202309,988,12260,735,455
202312,1239,14293,935,620
202403,1086,10905,1056,696
202406,1127,11821,1017,1502
202409,1184,12483,901,1452
202412,1174,15151,1180,2096
202503,688,11266,1230,2138
202506,866,10407,997,2781
202509,864,10870,1882,4604
202512,969,11730,2034,4864
202603,901,8621,2569,5168
