"YYYYMM","Other","Hybrid","Battery electric"
201903,54149,280,122
201906,60919,370,198
201909,68114,379,324
201912,77003,1180,282
202003,50160,801,238
202006,20363,615,120
202009,44818,970,264
202012,67046,2311,685
202103,54150,2406,333
202106,49974,3969,179
202109,62694,4072,227
202112,65759,5919,590
202203,51789,4534,1104
202206,58218,7399,722
202209,63680,7082,728
202212,60817,5541,724
202303,40535,5505,817
202306,36225,6751,802
202309,35196,7400,821
202312,42776,8157,1237
202403,31234,8298,992
202406,34358,8875,1408
202409,36686,11244,2182
202412,46829,14251,4596
202503,34936,11464,3446
202506,37226,14084,3850
202509,44145,20804,5070
202512,31755,13166,4124
