"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2010,37404,12042,490,0,1,34
2011,38194,11316,567,21,31,46
2012,38405,11305,1122,22,76,40
2013,34243,11847,703,11,158,19
2014,35845,13097,946,56,312,38
2015,32867,13021,961,25,73,19
2016,32713,16900,1472,108,145,13
2017,28461,22368,2413,687,386,10
2018,24761,25811,2883,713,430,11
2019,23022,27837,5403,913,986,5
2020,16628,19589,10279,2685,2473,17
2021,11194,16839,18892,4444,4649,22
2022,9236,14559,19910,3854,6391,26
2023,7482,16307,23754,4806,11048,38
2024,5430,12879,22890,3566,11897,86
