"YYYYMM","Diesel","Petrol","Non-Plugin Hybrid","Plugin Hybrid","Battery Electric","Other"
202201,301,633,671,39,44,36
202202,233,587,449,68,41,31
202203,291,870,764,36,62,35
202204,265,772,600,45,79,17
202205,327,973,733,33,87,21
202206,272,964,574,52,46,23
202207,273,740,439,41,51,25
202208,291,766,543,30,55,43
202209,325,828,555,15,64,23
202210,276,719,565,27,68,17
202211,276,643,435,17,46,11
202212,181,475,419,23,44,3
202301,203,735,739,32,58,6
202302,220,541,728,25,77,6
202303,276,1025,798,74,110,5
202304,253,813,707,30,112,8
202305,298,987,796,54,149,5
202306,264,979,809,61,138,10
202307,270,718,669,43,119,3
202308,196,621,772,52,124,3
202309,145,652,742,52,141,1
202310,194,654,665,59,149,5
202311,240,625,789,39,129,5
202312,277,496,853,39,139,9
202401,281,413,683,55,136,9
202402,244,430,609,59,89,9
202403,303,571,648,68,92,17
202404,285,510,780,60,82,17
202405,284,530,887,64,130,10
202406,239,498,889,61,120,5
202407,286,460,820,117,122,49
202408,235,449,775,110,104,8
202409,349,535,1000,130,107,4
202410,520,599,1280,155,119,0
202411,601,805,1587,177,131,12
202412,794,895,1578,212,88,6
202501,35,82,254,77,83,0
202502,57,132,307,69,59,0
202503,76,182,531,95,82,0
202504,113,216,591,83,72,0
202505,196,249,774,133,59,0
202506,141,312,832,175,89,0
202507,114,234,545,113,100,0
