"YYYYMM","Diesel","Petrol","Hybrid","Battery electric"
202306,2667,20987,1405,766
202312,2227,26553,1670,1075
202406,2213,22726,2073,2198
202412,2358,27634,2081,3548
202506,1554,21673,2227,4919
202512,1833,22600,3916,9468
202606,901,8621,2569,5168
