"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric","Other"
202003,18658,2574,88,71,0
202006,12867,2108,141,64,0
202009,19716,3245,363,152,0
202012,15887,3791,859,394,0
202103,17097,5047,878,419,0
202106,25710,7310,1291,614,0
202109,15918,5883,1145,456,0
202112,11911,5086,1475,687,0
202203,13592,6187,1274,505,869
202206,19878,9333,1533,781,846
202209,18014,7269,1113,707,1035
202212,12779,6230,1573,834,931
202303,20548,9177,1766,1392,889
202306,21164,10797,1854,1820,955
202309,17737,11275,2411,1731,995
202312,14498,10311,2795,1436,934
202403,18736,13693,2012,1580,647
202406,20149,16945,2019,1761,478
202409,10927,13920,2032,2261,875
202412,8946,13359,2199,3105,1431
202503,12531,16172,2033,2020,440
