"YYYYMM","Diesel","Petrol","LPG","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201112,58772,44166,5912,360,0,19,3595
201203,228558,146427,21321,1148,0,114,12643
201206,212712,137275,40295,1653,0,178,16517
201209,148483,86647,30211,1491,0,66,10894
201212,163516,97519,37583,2547,0,162,13746
201303,191648,111438,32502,2972,0,77,17384
201306,199567,120381,32746,3671,0,325,19301
201309,145620,79680,24612,3293,0,179,15068
201312,168261,89178,25704,4370,0,270,16280
201403,212175,114522,30123,4868,0,229,16042
201406,212408,111006,32852,6057,0,319,17986
201409,152341,77974,27721,3904,0,203,17639
201412,176109,89421,33300,5642,0,328,20397
201503,240022,129736,35308,6516,0,585,18267
201506,245537,137652,36339,6489,0,334,16819
201509,175252,103927,24314,5130,0,213,14027
201512,215267,118937,24566,7196,0,288,13595
201603,293526,175413,28406,10033,0,388,14288
201606,295329,176992,28952,9577,0,272,12601
201609,212809,115693,20498,8052,0,261,7540
201612,252135,129804,24247,10398,0,449,9231
201703,326600,195786,36902,15784,0,523,9223
201706,319514,174847,35275,17799,0,421,7321
201709,228113,122417,27218,14203,0,419,6828
201712,249017,134713,30196,18255,0,516,9286
201803,319159,189688,34153,20558,606,922,12002
201806,287091,187624,34652,21715,1188,1277,14576
201809,190520,126486,27461,18418,1351,1320,6199
201812,189991,173980,28838,21336,1092,1429,4550
201903,236142,230547,35371,27144,1003,1153,6450
201906,225686,238908,37024,28279,1235,3802,10351
201909,143287,171633,34141,21968,2061,2727,9677
201912,161502,210881,29988,31153,2517,2851,12049
202003,119799,156316,21002,34687,2948,5399,8429
202006,85493,95985,16239,27736,2847,4544,5186
202009,132998,136740,26840,63215,6566,7574,9628
202012,120418,133365,29996,97318,14967,14954,8344
202103,114104,148853,26165,120628,16405,13313,10506
202106,100703,136770,30924,123553,21518,17039,10064
202109,59544,73329,25651,86616,14978,16835,5877
202112,57014,78272,24994,96361,16340,20297,4968
202203,71315,92492,30540,115969,17017,11344,4127
202206,71338,99070,29295,113042,20101,13729,3479
202209,57795,83051,24807,105151,12306,11009,1700
202212,66034,92183,34123,120563,18287,13455,1426
202303,84688,117267,39611,154674,19088,16451,739
202306,80524,120490,35206,145703,20650,16368,308
202309,57049,99320,30890,125748,14236,13231,280
202312,60008,112645,37877,148941,16129,20614,577
202403,69684,141550,42286,174980,14486,13405,830
202406,60843,131403,36967,173554,14687,21693,382
202409,41272,86731,33193,132826,11450,13334,26
202412,46721,100095,32963,152334,12014,17550,3
202503,43897,118910,40925,201445,18915,23102,0
202506,41123,106033,36531,181373,26535,21764,3
202509,14310,42544,18616,76837,11089,7978,1
