"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric"
201903,42496,38,1,2
201906,40959,108,5,4
201909,41519,92,1,2
201912,43307,101,0,12
202003,37209,140,3,3
202006,5591,44,0,0
202009,37842,143,3,12
202012,43870,215,4,11
202103,39912,195,1,10
202106,40286,285,12,4
202109,43175,372,25,9
202112,49923,512,20,10
202203,45124,507,39,17
202206,43027,546,36,45
202209,43688,701,20,26
202212,43024,650,16,77
202303,48630,876,30,47
202306,44348,920,69,63
202309,44576,1029,108,75
202312,39764,1119,97,61
202403,42524,1290,75,89
202406,38560,1620,72,92
202409,40314,1628,47,124
202412,41265,1408,71,130
202503,48691,1805,90,151
202506,46936,2092,104,204
202509,50323,2386,209,215
202512,55587,2565,237,181
202603,65951,3130,283,214
202606,66485,3823,522,313
