"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Hydrogen","Others"
200906,609417,1434815,3031,0,76,0,12066
200912,559216,1173952,5343,0,86,0,9173
201006,591910,864590,4726,0,171,0,7394
201012,630028,805337,5935,0,370,0,5799
201106,748611,862066,5869,0,1275,0,4758
201112,747355,789571,6753,0,879,0,6497
201206,783288,832864,9232,0,1419,0,7598
201212,702831,722377,12206,0,1537,0,9152
201306,711148,769270,12421,0,2389,0,7402
201312,691965,733514,13927,0,3662,0,6733
201406,738605,774608,12240,1575,4188,0,7052
201412,713960,759118,10668,2952,4334,0,7473
201506,778608,813530,11034,4979,4663,0,6135
201512,759843,797859,11495,6122,7700,0,4074
201606,812441,893064,14511,6124,4357,0,3342
201612,727156,853243,19741,7620,7053,0,2955
201706,738757,997357,25256,12264,10189,10,3193
201712,598019,989131,29981,17172,14867,112,4954
201806,590775,1160339,44220,16682,17234,63,9718
201812,520355,982361,54595,14741,18828,108,5759
201906,608753,1098029,86470,16473,31059,152,8064
201912,543980,1038862,107431,28774,32222,158,6831
202006,383400,619108,109670,49503,44307,170,4464
202012,436496,742615,217725,150892,149856,212,9260
202106,314491,536814,220826,163563,148716,229,6250
202112,209955,435774,208309,161875,207245,250,7835
202206,246037,443671,233239,138879,167263,241,8645
202212,226237,419774,231988,223213,303296,595,8279
202306,252763,512451,324078,79064,220244,157,8113
202312,233818,466209,340502,96659,303975,107,6469
202406,275352,550578,363966,89549,184125,62,8009
202412,207909,441370,391526,102354,196484,99,5948
202506,175717,324418,326634,113295,201563,16,4929
