"YYYYMM","Internal combustion","Plugin hybrid","Battery electric"
201201,982070,0,0
201202,925000,0,0
201203,1069000,0,0
201204,1001968,0,0
201205,1032833,0,0
201206,1017000,0,0
201207,937300,0,0
201208,1051000,0,0
201209,1118400,0,0
201210,1117000,0,0
201211,1265000,0,0
201212,1349163,0,0
201301,1466586,97,922
201302,920000,0,0
201303,1273745,0,0
201304,1201255,0,0
201305,1197383,0,0
201306,1168500,0,0
201307,1104000,0,0
201308,1214500,0,0
201309,1416000,0,0
201310,1402000,0,0
201311,1514775,0,1225
201312,1692926,0,6074
201401,1742107,673,1220
201402,1032000,0,0
201403,1449103,834,2063
201404,1390271,997,2732
201405,1418000,0,0
201406,1466000,0,0
201407,1254888,0,0
201408,1339628,1605,1767
201409,1566722,2017,4261
201410,1583807,2065,3128
201411,1641749,2098,5153
201412,1927514,3000,11008
201501,1974157,2259,2584
201502,1325850,2489,2605
201503,1658270,3354,6376
201504,1505273,3165,5155
201505,1474144,4316,6540
201506,1332233,5301,7065
201507,1230097,6068,5176
201508,1369199,6794,7007
201509,1630953,6916,11131
201510,1679325,6044,14331
201511,1925886,7599,17215
201512,2244756,9251,27993
201601,2270933,5353,4538
201602,1313901,3589,3307
201603,1830580,4834,6398
201604,1624746,6500,6664
201605,1687403,8114,7872
201606,1633378,9730,10150
201607,1550825,8432,15683
201608,1740366,7884,14428
201609,2141102,7119,18545
201610,2162639,3517,21606
201611,2348138,3663,25872
201612,2665499,3380,32509
201701,2073283,1562,1379
201702,1444036,1214,2999
201703,1889855,3323,13817
201704,1644501,3825,13007
201705,1715934,5291,19852
201706,1717059,6022,24233
201707,1639931,7768,26308
201708,1832145,8122,30876
201709,2151988,10253,33029
201710,2201043,10227,37689
201711,2365547,17238,81303
201712,2547241,26683,171605
201801,2224606,12396,10835
201802,1426277,6525,8914
201803,1943582,11017,25115
201804,1759282,16059,35042
201805,1701924,20684,79981
201806,1623193,21178,42606
201807,1510184,19069,31265
201808,1667420,23092,43676
201809,1831740,22126,49934
201810,1874455,22351,55862
201811,1892926,27750,99357
201812,1950483,32131,234827
201901,2064136,17948,79787
201902,1143518,5592,24979
201903,1652390,13590,83058
201904,1441728,16597,51333
201905,1494361,20541,67364
201906,1566468,46000,153705
201907,1449815,9213,24356
201908,1519009,12196,32044
201909,1724249,15966,41196
201910,1781000,17000,46000
201911,1856000,13000,58000
201912,2016000,16000,115000
202001,1677000,9000,33000
202002,237000,1000,11000
202003,993000,8000,46000
202004,1375000,13000,42000
202005,1541000,14000,53000
202006,1576000,17000,66000
202007,1517000,16000,67000
202008,1610000,17000,76000
202009,1803000,22000,89000
202010,1861000,24000,110000
202011,1911000,26000,144000
202012,2080000,34000,173000
202101,2038000,25000,124000
202102,1099000,14000,83000
202103,1577000,28000,159000
202104,1458000,28000,130000
202105,1441000,32000,156000
202106,1354000,43000,187000
202107,1286000,45000,179000
202108,1202000,51000,199000
202109,1248000,57000,277000
202110,1397000,62000,255000
202111,1438000,77000,301000
202112,1631000,83000,392000
202201,1727000,79000,275000
202202,986000,67000,206000
202203,1138000,85000,360000
202204,764000,71000,213000
202205,995000,93000,268000
202206,1412000,108000,423000
202207,1331000,124000,362000
202208,1342000,133000,400000
202209,1311000,154000,457000
202210,1287000,158000,399000
202211,1050000,164000,438000
202212,1527000,185000,457000
202301,962000,118000,213000
202302,947000,145000,295000
202303,1044000,160000,387000
202304,1099000,164000,361000
202305,1162000,192000,389000
202306,1229000,217000,448000
202307,1126763,219551.000000,421454
202308,1206672,225665,490670
202309,1272190,246486.000000,499819
202310,1260012,271433,500364.000000
202311,1238801,288686,551814.000000
202312,1416854.000000,348029.000000,599318
202401,1367073,292897,378414
202402,718643,168420,219670.000000
202403,977224,289776,428722
202404,857667,271455,404029
202405,908314.000000,301811,495000
202406,907946,360048.000000,496306
202407,837504,393643,487378
202408,882218,438558,586290
202409,985677,479258.000000,643209.000000
202410,1065620,520961.000000,674057.000000
202411,1154728,509665.000000,757325
202412,1327129,540390,762196
202501,1050074,325431.000000,419031.000000
202502,701698.000000,256569,426912
202503,946201,347322.000000,643872.000000
202504,850306.000000,346054.000000,565150
202505,910923.000000,414034.000000,613122
202506,973561,450917.000000,660641.000000
202507,857069.000000,379337.000000,607219
202508,894000,414000,686000
