"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2013,782341,426922,7460,387,621,5371
2014,762324,438823,9744,1056,1357,5915
2015,766809,463387,9530,2968,1704,5031
2016,715572,511068,12703,8200,2549,6454
2017,681683,550268,16607,13845,3492,6902
2018,595479,625690,20384,12211,4556,8127
2019,537931,655699,33725,11039,10287,7524
2020,446144,538905,48822,36453,17168,7277
2021,381069,532260,85815,58493,28401,6693
2022,296002,490524,96109,76128,46771,6435
2023,273651,531467,123832,124879,106113,7178
2024,232011,529726,161289,88890,151432,7171
2025,187702,498899,193249,65866,175660,6649
2026,81406,250899,120282,26694,104583,3954
