"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2022,12938,43902,17355,1556,1390,1699
2023,17511,41518,24183,2997,2389,1813
2024,14808,44118,28206,2243,2227,1807
2025,12687,38079,32136,4085,4376,1680
2026,1449,4553,4580,443,582,135
