"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric"
2018,173462.393000,31060.772000,7432.443000,292.772000
2019,154619.465000,59780.791000,12031.146000,2020.049000
2020,133128.924000,36788.930000,6529.127000,1725.955000
2021,144153.280000,43591.151000,10737.405000,14098.250000
2022,146541.896000,33888.445000,18052.231000,40655.864000
2023,160675,45972,15157,48219
2024,137649,59159,6044,67171
2025,75950,43173,14384,26159
