"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric"
201703,5308.902000,0,0,26.789000
201706,4262.591000,57,87,38.987000
201709,9012.314000,109,74,45.370000
201712,7019.496000,0,0,49.731000
201803,6568.670025,114,0,105.208000
201806,6472.565039,4,0,47.303483
201809,12244.163114,0,0,360.316627
201812,9738.449364,1,0,508.962361
201903,5603.798000,7,0,230.548000
201906,4236.607000,0,0,608.828000
201909,7773.830000,0,5,704.544000
201912,6838.399000,25,0,685.047000
202003,3699.570000,0,26,604.574000
202006,1028,2,0,79
202009,1777.655000,5,0,363.651000
202012,4902,3,0,447.151000
202103,5704.685000,62,0,745
202106,4460.506000,11,24,806
202109,7235.160000,34,0,1020.720000
202112,5110.309000,26.456000,10,1976.479000
202203,4742.382000,31.863000,10,1176.729000
202206,3281.268000,76.441000,0,714.189000
202209,1562.357000,6,0,1207.829000
202212,587,3,0,1730.381000
202303,1254.288000,15,0,1544.964000
202306,1798.782000,3,0,2164
202309,2635.658000,12,0,3061.616000
202312,2317.837000,5,0,4362.232000
202403,2062,4,0,3819.775000
202406,1715.060000,4,0,6120.091000
202409,2919.913000,3.089000,0,5204.572000
202412,2214,22.865000,0,5371.172000
